         64486935 function calls in 20.000 seconds

   Ordered by: cumulative time
   List reduced from 18 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   12.881   12.881   20.000   20.000 /workspace/scratch/75a17f226d3b/lean-math-lab/research/tasks/B677-Lcm/runs/20260908-formalization-92c221/experiments/finite/generate_hash_helpers.py:13(build_lookup)
 21299108    3.241    0.000    4.687    0.000 {built-in method builtins.all}
 42614650    3.717    0.000    3.717    0.000 /workspace/scratch/75a17f226d3b/lean-math-lab/research/tasks/B677-Lcm/runs/20260908-formalization-92c221/experiments/finite/generate_hash_helpers.py:39(<genexpr>)
        1    0.007    0.007    0.094    0.094 {built-in method builtins.any}
    89754    0.075    0.000    0.087    0.000 /workspace/scratch/75a17f226d3b/lean-math-lab/research/tasks/B677-Lcm/runs/20260908-formalization-92c221/experiments/finite/generate_hash_helpers.py:21(<genexpr>)
        1    0.031    0.031    0.052    0.052 {built-in method builtins.sorted}
    89753    0.014    0.000    0.021    0.000 /workspace/scratch/75a17f226d3b/lean-math-lab/research/tasks/B677-Lcm/runs/20260908-formalization-92c221/experiments/finite/generate_hash_helpers.py:19(<lambda>)
   285150    0.021    0.000    0.021    0.000 {built-in method builtins.len}
    89693    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
    15890    0.006    0.000    0.006    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.001    0.000 /workspace/scratch/75a17f226d3b/lean-math-lab/research/tasks/B677-Lcm/runs/20260908-formalization-92c221/experiments/finite/generate_hash_helpers.py:5(next_prime)
      101    0.000    0.000    0.001    0.000 /workspace/scratch/75a17f226d3b/lean-math-lab/research/tasks/B677-Lcm/runs/20260908-formalization-92c221/experiments/finite/generate_hash_helpers.py:6(prime)
     2726    0.001    0.000    0.001    0.000 /workspace/scratch/75a17f226d3b/lean-math-lab/research/tasks/B677-Lcm/runs/20260908-formalization-92c221/experiments/finite/generate_hash_helpers.py:7(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      101    0.000    0.000    0.000    0.000 {built-in method math.isqrt}


