lean-version: exit 0, 1.22s
research-tasks-B686-Four-round5-main-ContactCertificates: exit 0, 13.865s
research-tasks-B686-Four-round4-main-ShiftCongruence: exit 0, 2.8s
research-tasks-B686-Four-round4-main-K5CubicSlots: exit 0, 3.49s
research-tasks-B686-Four-round5-main-ContactOriginal: exit 0, 3.177s
research-tasks-B686-Four-round5-main-FourContact: exit 0, 46.996s
research-tasks-B686-Four-round5-main-FourOriginal: exit 0, 2.613s
research-tasks-B686-Four-round5-main-PositionPartition: exit 0, 2.644s
research-tasks-B686-Four-round4-worker-K5TwoPosition: exit 0, 3.977s
research-tasks-B686-Four-round4-worker-K5Finite: exit 0, 28.548s
research-tasks-B686-Four-round4-worker-K5Combined: exit 0, 2.623s
research-tasks-B686-Four-round4-worker-K5CubicTail: exit 0, 4.674s
research-tasks-B686-Four-round5-worker-ContactTail: exit 0, 6.025s
research-tasks-B686-Four-round5-worker-FourContactTail: exit 0, 5.596s
research-tasks-B686-Four-round5-main-ContactCombination: exit 0, 13.592s
research-tasks-B686-Four-round4-worker-K5LossFinite: exit 0, 9.977s
research-tasks-B686-Four-round5-worker-ContactFinite0: exit 0, 15.387s
research-tasks-B686-Four-round5-worker-ContactFinite1: exit 0, 15.587s
research-tasks-B686-Four-round5-worker-ContactFinite2: exit 0, 15.407s
research-tasks-B686-Four-round5-worker-ContactFinite3: exit 0, 16.034s
research-tasks-B686-Four-round5-worker-ContactFinite4: exit 0, 6.161s
research-tasks-B686-Four-round5-worker-ContactFinite: exit 0, 2.249s
research-tasks-B686-Four-independent-TargetBridge: exit 0, 2.807s
research-tasks-B686-Four-round5-worker-ThreePosition124: exit 0, 2.833s
research-tasks-B686-Four-round5-worker-FourPosition1245: exit 0, 3.149s
research-tasks-B686-Four-round5-main-NoncentralSupport: exit 0, 2.886s
research-tasks-B686-Four-round5-worker-NoncentralSupport: exit 0, 3.036s
research-tasks-B686-Four-round5-worker-ResidualPositionBound: exit 0, 3.094s
research-tasks-B686-Four-round5-worker-LocalContact: exit 0, 2.483s
research-tasks-B686-Four-round5-AllResults: exit 0, 2.381s
{"success": true, "finished_utc": "2026-09-07T12:40:57.087070+00:00", "elapsed_seconds": 245.442}
