'B686Round6B.product_reflection' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.sum_divides' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.negative_four_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.sum_slot_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.sum_error_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.sum_error_product_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.not_four_sum_square_tail' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.not_four_sum_factor_groups' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.not_four_sum_two_position_support' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.not_four_sum_two_position_support_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.large_prime_power_sum_position' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.not_four_sum_two_prime_powers' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.not_four_sum_two_prime_powers_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.product_at_root' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.five_contact_raw' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.five_sum_slot_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.five_divides_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.product_centered' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.sum_five_implies_twentyfive' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.prime_power_product_position' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.five_power_sum_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.prime_power_sum_square_ge_five' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.not_four_sum_square_original' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.not_four_sum_two_prime_powers_ge_five' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.not_four_sum_two_prime_powers_ge_five_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.prime_divisor_ge_five' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.solution_sum_requires_three_distinct_primes' depends on axioms: [propext, Classical.choice, Quot.sound]
'B686Round6B.original_sum_necessary_conditions' depends on axioms: [propext, Classical.choice, Quot.sound]
