AXIOM_AUDIT_PASS B686QuarterRunge.adjacentSquareRoot_sq: [propext, Classical.choice, Quot.sound]
AXIOM_AUDIT_PASS B686QuarterRunge.pairedSquareRoot_sq: [propext, Classical.choice, Quot.sound]
AXIOM_AUDIT_PASS B686QuarterRunge.centered_rootPolynomial_eq: [propext, Classical.choice, Quot.sound]
AXIOM_AUDIT_PASS B686QuarterRunge.squaredError_degree: [propext, Classical.choice, Quot.sound]
AXIOM_AUDIT_PASS B686QuarterRunge.upperRemainder_tendsto: [propext, Classical.choice, Quot.sound]
AXIOM_AUDIT_PASS B686QuarterRunge.lowerRemainder_tendsto: [propext, Classical.choice, Quot.sound]
AXIOM_AUDIT_PASS B686QuarterCauchy.jump_representation_upper: [propext, Classical.choice, Quot.sound]
AXIOM_AUDIT_PASS B686QuarterCauchy.jump_representation_real: [propext, Classical.choice, Quot.sound]
AXIOM_AUDIT_PASS B686QuarterRunge.upperRemainder_eq_alternating_integral: [propext, Classical.choice, Quot.sound]
AXIOM_AUDIT_PASS B686QuarterRunge.quarterErrorIntegral_pos: [propext, Classical.choice, Quot.sound]
AXIOM_AUDIT_PASS B686QuarterRunge.quarterErrorIntegral_strictAnti: [propext, Classical.choice, Quot.sound]
AXIOM_AUDIT_PASS B686QuarterRunge.quarterErrorIntegral_le: [propext, Classical.choice, Quot.sound]
AXIOM_AUDIT_PASS B686QuarterRunge.quarterPolynomial_eval_eq_density_add_error: [propext, Classical.choice, Quot.sound]
AXIOM_AUDIT_PASS B686QuarterRunge.centered_not_four_above_threshold: [propext, Classical.choice, Quot.sound]
AXIOM_AUDIT_PASS B686QuarterRunge.n_lt_explicit_bound: [propext, Classical.choice, Quot.sound]
AXIOM_AUDIT_PASS B686QuarterRunge.n_add_k_lt_explicit_bound: [propext, Classical.choice, Quot.sound]
AXIOM_AUDIT_PASS B686QuarterRunge.original_product_consumers: [propext, Classical.choice, Quot.sound]
AXIOM_AUDIT_PASS B686QuarterRunge.four_dvd_product_consumers: [propext, Classical.choice, Quot.sound]
