# command: LEAN -j1 -M1536 -DautoImplicit=false -DrelaxedAutoImplicit=false --root=PROJECT_ROOT -o .tools/20260911-low-index-lean-513dc7cc/20260911T182914805101Z/olean/research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/Growth/I11FiveThreeTree.olean research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/Growth/I11FiveThreeTree.lean
# cwd: PROJECT_ROOT
# started_utc: 2026-09-11T18:31:29.295601Z
# finished_utc: 2026-09-11T18:31:40.107025Z
# exit_code: 0
# timed_out: False
'Math.B699.I11FiveThreeGrowth.Tree.qTreeNodeLRLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveThreeGrowth.Tree.qTreeNodeLRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveThreeGrowth.Tree.qTreeNodeLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveThreeGrowth.Tree.qTreeNodeRootDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveThreeGrowth.Tree.q_tree_delta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveThreeGrowth.Tree.qTreeNodeLRLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveThreeGrowth.Tree.qTreeNodeLRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveThreeGrowth.Tree.qTreeNodeLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveThreeGrowth.Tree.qTreeNodeRootDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveThreeGrowth.Tree.q_tree_delta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveThreeGrowth.Tree.eTreeNodeLRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveThreeGrowth.Tree.eTreeNodeLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveThreeGrowth.Tree.eTreeNodeRootDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveThreeGrowth.Tree.e_tree_delta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveThreeGrowth.Tree.eTreeNodeLRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveThreeGrowth.Tree.eTreeNodeLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveThreeGrowth.Tree.eTreeNodeRootDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveThreeGrowth.Tree.e_tree_delta1' depends on axioms: [propext, Classical.choice, Quot.sound]
