# command: LEAN -j1 -M1536 -DautoImplicit=false -DrelaxedAutoImplicit=false --root=PROJECT_ROOT -o .tools/20260911-low-index-lean-513dc7cc/20260911T191534943443Z/olean/research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/Growth/I11TwoFiveTree.olean research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/Growth/I11TwoFiveTree.lean
# cwd: PROJECT_ROOT
# started_utc: 2026-09-11T19:16:57.443736Z
# finished_utc: 2026-09-11T19:17:07.677796Z
# exit_code: 0
# timed_out: False
'Math.B699.I11TwoFiveGrowth.Tree.qTreeNodeLLLRRRLLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.qTreeNodeLLLRRRLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.qTreeNodeLLLRRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.qTreeNodeLLLRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.qTreeNodeLLLRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.qTreeNodeLLLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.qTreeNodeLLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.qTreeNodeLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.qTreeNodeRootDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.q_tree_delta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.qTreeNodeLLLRRRLLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.qTreeNodeLLLRRRLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.qTreeNodeLLLRRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.qTreeNodeLLLRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.qTreeNodeLLLRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.qTreeNodeLLLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.qTreeNodeLLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.qTreeNodeLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.qTreeNodeRootDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.q_tree_delta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.eTreeNodeLRRRRRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.eTreeNodeLRRRRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.eTreeNodeLRRRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.eTreeNodeLRRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.eTreeNodeLRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.eTreeNodeLRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.eTreeNodeLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.eTreeNodeRootDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.e_tree_delta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.eTreeNodeLRRRRRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.eTreeNodeLRRRRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.eTreeNodeLRRRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.eTreeNodeLRRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.eTreeNodeLRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.eTreeNodeLRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.eTreeNodeLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.eTreeNodeRootDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11TwoFiveGrowth.Tree.e_tree_delta1' depends on axioms: [propext, Classical.choice, Quot.sound]
