# command: LEAN -j1 -M1536 -DautoImplicit=false -DrelaxedAutoImplicit=false --root=PROJECT_ROOT -o .tools/20260911-low-index-lean-513dc7cc/20260911T210733901206Z/olean/research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/I11SevenTwoEdge/ActualRowsAudit.olean research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/I11SevenTwoEdge/ActualRowsAudit.lean
# cwd: PROJECT_ROOT
# started_utc: 2026-09-11T21:08:12.260852Z
# finished_utc: 2026-09-11T21:08:21.577170Z
# exit_code: 0
# timed_out: False
'Math.B699.I11SevenTwoScaled.contentBase' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoScaled.qEval' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoScaled.eEval' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoScaled.content' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoScaled.qRow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoScaled.rowError' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoScaled.contentBase_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoScaled.content_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoScaled.q_content_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoScaled.e_content_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoScaled.actual_q_content_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoScaled.actual_e_content_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoScaled.actual_integer_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
