# command: LEAN -j1 -M1536 -DautoImplicit=false -DrelaxedAutoImplicit=false --root=PROJECT_ROOT -o .tools/20260911-low-index-lean-513dc7cc/20260911T211422483733Z/olean/research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/I11DivisorThreeTwo/ActualAudit.olean research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/I11DivisorThreeTwo/ActualAudit.lean
# cwd: PROJECT_ROOT
# started_utc: 2026-09-11T21:15:05.429441Z
# finished_utc: 2026-09-11T21:15:14.108623Z
# exit_code: 0
# timed_out: False
'Math.B699.I11DivisorThreeTwo.targetBase' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.middleBase' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.targetRate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.middleRate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.infiniteRate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.blockRatio' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.numerator' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.denominator' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.target_base_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.target_rate_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.middle_rate_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.target_rate_le_infinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.block_ratio_ge_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.block_linear_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.denominator_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_formula' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_initial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_step_succ' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_adjacent_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_le_adjacent' depends on axioms: [propext, Classical.choice, Quot.sound]
