# command: LEAN -j1 -M1536 -DautoImplicit=false -DrelaxedAutoImplicit=false --root=PROJECT_ROOT -o .tools/20260911-low-index-lean-513dc7cc/20260911T211737734137Z/olean/research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/I11DivisorThreeTwo/Audit.olean research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/I11DivisorThreeTwo/Audit.lean
# cwd: PROJECT_ROOT
# started_utc: 2026-09-11T21:18:05.154873Z
# finished_utc: 2026-09-11T21:18:14.240962Z
# exit_code: 0
# timed_out: False
'Math.B699.I11DivisorFiniteCommon.normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiniteCommon.normalized_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiniteCommon.normalized_rough_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiniteCommon.normalized_middle_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiniteCommon.sequence_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.targetBase' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.middleBase' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.targetRate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.middleRate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.infiniteRate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.blockRatio' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.numerator' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.denominator' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.target_base_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.target_rate_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.middle_rate_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.target_rate_le_infinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.block_ratio_ge_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.block_linear_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.denominator_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_formula' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_initial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_step_succ' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_adjacent_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_le_adjacent' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.rough_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.middle_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.ratio_rough' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_rough_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.ratio_middle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_middle_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.finite_binary_base' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.rationalDivisor_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.qContent_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.qContent_upper_row_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.qContent_adjacent_row_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.bftContent_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
