# command: LEAN -j1 -M1536 -DautoImplicit=false -DrelaxedAutoImplicit=false --root=PROJECT_ROOT -o .tools/20260911-low-index-lean-513dc7cc/20260911T212203370603Z/olean/research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/I11DivisorRemaining/Audit.olean research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/I11DivisorRemaining/Audit.lean
# cwd: PROJECT_ROOT
# started_utc: 2026-09-11T21:22:31.906621Z
# finished_utc: 2026-09-11T21:22:41.122665Z
# exit_code: 0
# timed_out: False
'Math.B699.I11DivisorFiniteCommon.normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiniteCommon.normalized_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiniteCommon.normalized_rough_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiniteCommon.normalized_middle_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiniteCommon.sequence_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.targetBase' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.middleBase' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.targetRate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.middleRate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.infiniteRate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.blockRatio' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.numerator' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.denominator' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.target_base_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
