# command: LEAN -j1 -M1536 -DautoImplicit=false -DrelaxedAutoImplicit=false --root=PROJECT_ROOT -o .tools/20260911-low-index-lean-513dc7cc/20260911T214022071688Z/olean/research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/Growth/I11SevenTwoTree.olean research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/Growth/I11SevenTwoTree.lean
# cwd: PROJECT_ROOT
# started_utc: 2026-09-11T21:41:01.576080Z
# finished_utc: 2026-09-11T21:41:11.763080Z
# exit_code: 0
# timed_out: False
'Math.B699.I11SevenTwoGrowth.Tree.qTreeNodeLRLLRLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.qTreeNodeLRLLRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.qTreeNodeLRLLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.qTreeNodeLRLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.qTreeNodeLRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.qTreeNodeLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.qTreeNodeRootDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.q_tree_delta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.qTreeNodeLRLLRLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.qTreeNodeLRLLRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.qTreeNodeLRLLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.qTreeNodeLRLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.qTreeNodeLRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.qTreeNodeLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.qTreeNodeRootDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.q_tree_delta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.eTreeNodeLRRRRRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.eTreeNodeLRRRRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.eTreeNodeLRRRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.eTreeNodeLRRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.eTreeNodeLRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.eTreeNodeLRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.eTreeNodeLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.eTreeNodeRootDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.e_tree_delta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.eTreeNodeLRRRRRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.eTreeNodeLRRRRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.eTreeNodeLRRRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.eTreeNodeLRRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.eTreeNodeLRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.eTreeNodeLRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.eTreeNodeLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.eTreeNodeRootDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11SevenTwoGrowth.Tree.e_tree_delta1' depends on axioms: [propext, Classical.choice, Quot.sound]
