# command: LEAN -j1 -M1536 -DautoImplicit=false -DrelaxedAutoImplicit=false --root=PROJECT_ROOT -o .tools/20260911-low-index-lean-513dc7cc/20260911T224338274223Z/olean/research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/Growth/I11FiveSevenTree.olean research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/Growth/I11FiveSevenTree.lean
# cwd: PROJECT_ROOT
# started_utc: 2026-09-11T22:44:22.166349Z
# finished_utc: 2026-09-11T22:44:32.021599Z
# exit_code: 0
# timed_out: False
'Math.B699.I11FiveSevenGrowth.Tree.qTreeNodeLLRRRLLRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.qTreeNodeLLRRRLLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.qTreeNodeLLRRRLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.qTreeNodeLLRRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.qTreeNodeLLRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.qTreeNodeLLRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.qTreeNodeLLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.qTreeNodeLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.qTreeNodeRootDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.q_tree_delta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.qTreeNodeLLRRRLLRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.qTreeNodeLLRRRLLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.qTreeNodeLLRRRLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.qTreeNodeLLRRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.qTreeNodeLLRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.qTreeNodeLLRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.qTreeNodeLLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.qTreeNodeLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.qTreeNodeRootDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.q_tree_delta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.eTreeNodeLRRRRRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.eTreeNodeLRRRRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.eTreeNodeLRRRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.eTreeNodeLRRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.eTreeNodeLRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.eTreeNodeLRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.eTreeNodeLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.eTreeNodeRootDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.e_tree_delta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.eTreeNodeLRRRRRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.eTreeNodeLRRRRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.eTreeNodeLRRRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.eTreeNodeLRRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.eTreeNodeLRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.eTreeNodeLRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.eTreeNodeLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.eTreeNodeRootDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11FiveSevenGrowth.Tree.e_tree_delta1' depends on axioms: [propext, Classical.choice, Quot.sound]
