# command: LEAN -j1 -M3072 -DautoImplicit=false -DrelaxedAutoImplicit=false --root=PROJECT_ROOT -o .tools/20260911-low-index-lean-513dc7cc/20260911T234514391666Z/olean/research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/Growth/I11ThreeTwoTree.olean research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/Growth/I11ThreeTwoTree.lean
# cwd: PROJECT_ROOT
# started_utc: 2026-09-11T23:45:56.868236Z
# finished_utc: 2026-09-11T23:46:06.371496Z
# exit_code: 0
# timed_out: False
'Math.B699.I11ThreeTwoGrowth.Tree.qTreeNodeLLRRRLLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.qTreeNodeLLRRRLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.qTreeNodeLLRRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.qTreeNodeLLRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.qTreeNodeLLRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.qTreeNodeLLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.qTreeNodeLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.qTreeNodeRootDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.q_tree_delta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.qTreeNodeLLRRRLLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.qTreeNodeLLRRRLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.qTreeNodeLLRRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.qTreeNodeLLRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.qTreeNodeLLRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.qTreeNodeLLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.qTreeNodeLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.qTreeNodeRootDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.q_tree_delta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.eTreeNodeLRRRRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.eTreeNodeLRRRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.eTreeNodeLRRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.eTreeNodeLRRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.eTreeNodeLRDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.eTreeNodeLDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.eTreeNodeRootDelta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.e_tree_delta0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.eTreeNodeLRRRRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.eTreeNodeLRRRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.eTreeNodeLRRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.eTreeNodeLRRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.eTreeNodeLRDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.eTreeNodeLDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.eTreeNodeRootDelta1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11ThreeTwoGrowth.Tree.e_tree_delta1' depends on axioms: [propext, Classical.choice, Quot.sound]
