B699_CUBIC_BLOCKS_V1	5	13	216	13	14000001	36	6029472	126	130
36	0	14	-11
37	0	14	4
38	1	15	11
40	0	16	2
41	0	16	10
42	0	16	-11
43	1	17	7
45	1	18	1
47	1	18	1
49	1	19	-11
51	0	20	-4
52	2	21	-12
55	2	22	7
58	2	23	-7
61	2	24	7
64	3	26	-5
68	3	27	2
72	4	29	-7
77	4	31	-13
82	5	33	4
88	5	36	-6
94	6	38	7
101	7	41	4
109	7	44	-5
117	9	48	3
127	10	52	-11
138	12	57	-9
151	12	62	-1
164	13	67	-4
178	15	73	1
194	17	80	-7
212	19	87	-3
232	22	96	-7
255	24	105	10
280	27	116	1
308	30	128	8
339	34	141	-4
374	37	155	-10
412	42	171	5
455	45	189	9
501	51	208	8
553	57	230	-1
611	63	254	1
675	70	281	4
746	78	311	-3
825	87	344	-1
913	96	381	-5
1010	106	421	11
1117	119	466	10
1237	133	516	-3
1371	147	572	-4
1519	164	634	13
1684	182	703	-6
1867	204	780	-7
2072	226	866	4
2299	252	961	-7
2552	279	1066	-13
2832	310	1183	-11
3143	345	1314	-9
3489	383	1458	-9
3873	426	1619	13
4300	474	1798	10
4775	526	1996	3
5302	585	2217	5
5888	650	2462	-8
6539	722	2734	5
7262	803	3037	-4
8066	892	3373	13
8959	990	3746	-3
9950	1100	4161	11
11051	1224	4622	5
12276	1360	5134	-1
13637	1511	5703	-4
15149	1679	6336	-5
16829	1866	7039	-2
18696	2073	7820	6
20770	2303	8687	5
23074	2559	9651	-6
25634	2844	10722	-10
28479	3160	11912	4
31640	3510	13234	-3
35151	3902	14703	5
39054	4336	16336	3
43391	4817	18150	5
48209	5351	20165	5
53561	5947	22404	8
59509	6607	24892	-11
66117	7342	27657	13
73460	8158	30728	8
81619	9064	34141	5
90684	10071	37933	2
100756	11191	42147	7
111948	12434	46828	-5
124383	13816	52030	1
138200	15351	57810	-4
153552	17057	64232	-4
170610	18952	71368	13
189563	21057	79296	13
210621	23398	88105	7
234020	25997	97893	-3
260018	28886	108768	5
288905	32095	120852	3
321001	35663	134279	-13
356665	39625	149197	1
396291	44029	165774	-1
440321	48920	184192	-13
489242	54356	204656	13
543599	60395	227395	10
603995	67106	252659	-1
671102	74562	280731	4
745665	82847	311922	10
828513	92053	346579	9
920567	102280	385086	3
1022848	113646	427872	1
1136495	126274	475413	-4
1262770	140303	528235	-6
1403074	155893	586927	10
1558968	173215	652140	-1
1732184	192461	724599	-8
1924646	213845	805108	9
2138492	237606	894564	-1
2376099	264006	993958	-1
2640106	293340	1104397	-5
2933447	325934	1227106	9
3259382	362148	1363449	11
3621531	402388	1514942	1
4023920	447098	1683268	4
4471019	496775	1870296	-6
4967795	551972	2078105	-2
5519768	509704	2309004	3
