n	p	complete_large_prime_part_V
30	29	215441
31	31	392863
32	31	392863
33	31	20677
34	31	351509
35	31	351509
36	31	351509
37	37	565471
38	37	10743949
39	37	10743949
40	37	10743949
41	41	440501909
42	41	440501909
43	43	653158003
44	43	653158003
45	43	21069613
46	43	484601099
48	47	1339779509
49	47	1339779509
50	47	1339779509
51	47	615574369
52	47	32398651
53	53	1717128503
54	53	1717128503
55	53	41881183
56	53	41881183
57	53	18505639
58	53	536663531
59	59	31663148329
60	59	1376658623
61	61	1786727149
62	61	55388541619
63	61	55388541619
64	61	55388541619
65	61	3258149507
66	61	3258149507
67	67	4118792773
68	67	70019477141
72	71	207516889603
73	73	256758185441
75	73	155738571497
76	73	95452672853
77	73	95452672853
78	73	95452672853
81	79	112548673961
82	79	271440919553
83	83	979547666213
84	83	979547666213
85	83	234539582051
88	83	108282435697
90	89	507217725107
91	89	507217725107
100	97	159404555113
101	101	555167588497
108	107	1848385284703
109	109	10603894528033
110	109	10603894528033
111	109	4044784510693
112	109	4044784510693
121	113	5792779977851
128	127	6587276199437
129	127	12315342459817
130	127	424666981373
131	131	55631374559863
132	131	942904653557
133	131	1053834612799
134	131	70606919057533
135	131	70606919057533
136	131	19677338098001
137	137	65751105351857
138	137	48783078164281
156	151	17646151924223
200	199	2128051301293273
247	241	10193143034360459
250	241	9457972242123859
251	251	30050013073077071
252	251	1767647827828063
253	251	170108368368391
254	251	21603762782785657
255	251	1523916876794009
256	251	1523916876794009
351	349	679888904961046591
352	349	679888904961046591
738	733	1166430897656940077179
