3 1 {'iteration': 0, 'objective': 0.22222222222222232, 'new_conics': 124, 'candidate_5sets': 53130, 'support': 25}
3 1 {'iteration': 1, 'objective': 0.222222222222222, 'new_conics': 26, 'candidate_5sets': 98280, 'support': 28}
3 1 {'iteration': 2, 'objective': 0.22222222222222243, 'new_conics': 90, 'candidate_5sets': 118755, 'support': 29}
3 1 {'iteration': 3, 'objective': 0.2222222222222242, 'new_conics': 3, 'candidate_5sets': 142506, 'support': 30}
3 1 {'iteration': 4, 'objective': 0.22222222222222227, 'new_conics': 5, 'candidate_5sets': 98280, 'support': 28}
3 1 {'iteration': 5, 'objective': 0.22222222222222082, 'new_conics': 21, 'candidate_5sets': 169911, 'support': 31}
3 2 {'iteration': 0, 'objective': 0.1111111111111115, 'new_conics': 176, 'candidate_5sets': 80730, 'support': 27}
3 2 {'iteration': 1, 'objective': 0.09090909090909083, 'new_conics': 72, 'candidate_5sets': 98280, 'support': 28}
3 2 {'iteration': 2, 'objective': 0.08000000000000002, 'new_conics': 1, 'candidate_5sets': 142506, 'support': 30}
3 2 {'iteration': 3, 'objective': 0.08000000000000124, 'new_conics': 0, 'candidate_5sets': 142506, 'support': 30}
1 2 {'iteration': 0, 'objective': 0.2999999999999995, 'new_conics': 137, 'candidate_5sets': 65780, 'support': 26}
1 2 {'iteration': 1, 'objective': 0.3, 'new_conics': 11, 'candidate_5sets': 118755, 'support': 29}
1 2 {'iteration': 2, 'objective': 0.2999999999999991, 'new_conics': 8, 'candidate_5sets': 142506, 'support': 30}
1 2 {'iteration': 3, 'objective': 0.3000000000000001, 'new_conics': 5, 'candidate_5sets': 142506, 'support': 30}
1 2 {'iteration': 4, 'objective': 0.300000000000004, 'new_conics': 5, 'candidate_5sets': 142506, 'support': 30}
1 2 {'iteration': 5, 'objective': 0.300000000000001, 'new_conics': 18, 'candidate_5sets': 169911, 'support': 31}
2 1 {'iteration': 0, 'objective': 0.30000000000000104, 'new_conics': 11, 'candidate_5sets': 201376, 'support': 32}
2 1 {'iteration': 1, 'objective': 0.29999999999999605, 'new_conics': 26, 'candidate_5sets': 237336, 'support': 33}
