LP (3, 1) 0 0.22222222222222232
  GEN (3, 1) 0 2 0 total 0 time 0.4
  GEN (3, 1) 0 2 1 total 0 time 0.5
  GEN (3, 1) 0 2 2 total 0 time 0.7
  GEN (3, 1) 0 3 1 total 0 time 0.8
  GEN (3, 1) 0 3 3 total 0 time 0.8
  GEN (3, 1) 0 4 1 total 0 time 0.9
  GEN (3, 1) 0 4 4 total 0 time 1.0
  GEN (3, 1) 0 5 1 total 0 time 1.5
  GEN (3, 1) 0 5 5 total 0 time 1.9
LP (1, 2) 0 0.30000000000000027
  GEN (1, 2) 0 2 0 total 0 time 2.2
  GEN (1, 2) 0 2 1 total 0 time 2.5
  GEN (1, 2) 0 2 2 total 0 time 2.8
  GEN (1, 2) 0 3 1 total 0 time 2.9
  GEN (1, 2) 0 3 3 total 0 time 3.0
  GEN (1, 2) 0 4 1 total 0 time 3.3
  GEN (1, 2) 0 4 4 total 0 time 3.5
  GEN (1, 2) 0 5 1 total 0 time 4.1
  GEN (1, 2) 0 5 5 total 0 time 4.9
FINAL 0 4.8946690910000825
