{'D': 5, 'rs': [1, 3, 4, 5], 'ws': [3, 1, 1, 1], 'rows': 27, 'cols': 21, 'rank': 21, 'nullity': 0}
{'D': 6, 'rs': [1, 3, 4, 5], 'ws': [3, 2, 1, 1], 'rows': 35, 'cols': 28, 'rank': 28, 'nullity': 0}
{'D': 7, 'rs': [1, 3, 4, 5], 'ws': [4, 2, 1, 1], 'rows': 43, 'cols': 36, 'rank': 36, 'nullity': 0}
{'D': 8, 'rs': [1, 3, 4, 5], 'ws': [4, 2, 2, 1], 'rows': 53, 'cols': 45, 'rank': 45, 'nullity': 0}
{'D': 9, 'rs': [1, 3, 4, 5], 'ws': [5, 2, 2, 1], 'rows': 63, 'cols': 55, 'rank': 55, 'nullity': 0}
{'D': 10, 'rs': [1, 3, 4, 5], 'ws': [5, 2, 2, 2], 'rows': 75, 'cols': 66, 'rank': 66, 'nullity': 0}
{'D': 11, 'rs': [1, 3, 4, 5], 'ws': [5, 3, 2, 2], 'rows': 87, 'cols': 78, 'rank': 78, 'nullity': 0}
{'D': 12, 'rs': [1, 3, 4, 5], 'ws': [6, 3, 2, 2], 'rows': 99, 'cols': 91, 'rank': 91, 'nullity': 0}
{'D': 13, 'rs': [1, 3, 4, 5], 'ws': [7, 3, 2, 2], 'rows': 113, 'cols': 105, 'rank': 105, 'nullity': 0}
{'D': 14, 'rs': [1, 3, 4, 5], 'ws': [7, 3, 3, 2], 'rows': 128, 'cols': 120, 'rank': 120, 'nullity': 0}
{'D': 15, 'rs': [1, 3, 4, 5], 'ws': [7, 4, 3, 2], 'rows': 144, 'cols': 136, 'rank': 136, 'nullity': 0}
{'D': 16, 'rs': [1, 3, 4, 5], 'ws': [8, 4, 3, 2], 'rows': 160, 'cols': 153, 'rank': 152, 'nullity': 1}
seconds 0.05583823699998902
