0 {'c': 1, 'la': 3, 'mu': 1, 'kind': 0, 'u': 1, 'z': 8} left 0 moduli 1
1 {'c': 1, 'la': 3, 'mu': 1, 'kind': 0, 'u': 1, 'z': 16} left 1 moduli 7
2 {'c': 1, 'la': 3, 'mu': 1, 'kind': 0, 'u': 1, 'z': 32} left 0 moduli 4
3 {'c': 1, 'la': 3, 'mu': 1, 'kind': 0, 'u': 1, 'z': 40} left 0 moduli 4
4 {'c': 1, 'la': 3, 'mu': 1, 'kind': 0, 'u': 1, 'z': 56} left 0 moduli 3
5 {'c': 1, 'la': 3, 'mu': 1, 'kind': 0, 'u': 1, 'z': 64} left 0 moduli 4
6 {'c': 1, 'la': 3, 'mu': 1, 'kind': 0, 'u': 1, 'z': 80} left 0 moduli 2
7 {'c': 1, 'la': 3, 'mu': 1, 'kind': 0, 'u': 1, 'z': 88} left 0 moduli 1
8 {'c': 1, 'la': 3, 'mu': 1, 'kind': 0, 'u': 1, 'z': 104} left 0 moduli 5
9 {'c': 1, 'la': 3, 'mu': 1, 'kind': 0, 'u': 1, 'z': 112} left 0 moduli 3
10 {'c': 1, 'la': 3, 'mu': 1, 'kind': 0, 'u': 1, 'z': 128} left 0 moduli 1
11 {'c': 1, 'la': 3, 'mu': 1, 'kind': 1, 'u': 1, 'z': 1} left 1 moduli 7
12 {'c': 1, 'la': 3, 'mu': 1, 'kind': 1, 'u': 1, 'z': 17} left 0 moduli 4
13 {'c': 1, 'la': 3, 'mu': 1, 'kind': 1, 'u': 1, 'z': 49} left 0 moduli 5
14 {'c': 1, 'la': 3, 'mu': 1, 'kind': 1, 'u': 1, 'z': 65} left 0 moduli 4
15 {'c': 1, 'la': 3, 'mu': 1, 'kind': 1, 'u': 1, 'z': 97} left 0 moduli 5
16 {'c': 1, 'la': 3, 'mu': 1, 'kind': 1, 'u': 1, 'z': 113} left 0 moduli 1
17 {'c': 1, 'la': 3, 'mu': 1, 'kind': 1, 'u': 3, 'z': 9} left 0 moduli 6
18 {'c': 1, 'la': 3, 'mu': 1, 'kind': 1, 'u': 7, 'z': 1} left 0 moduli 5
19 {'c': 1, 'la': 3, 'mu': 1, 'kind': 2, 'u': 1, 'z': 5} left 0 moduli 8
20 {'c': 1, 'la': 3, 'mu': 1, 'kind': 2, 'u': 1, 'z': 37} left 0 moduli 16
21 {'c': 1, 'la': 3, 'mu': 1, 'kind': 2, 'u': 1, 'z': 53} left 0 moduli 1
22 {'c': 1, 'la': 3, 'mu': 1, 'kind': 2, 'u': 1, 'z': 85} left 0 moduli 9
23 {'c': 1, 'la': 3, 'mu': 1, 'kind': 2, 'u': 1, 'z': 101} left 0 moduli 4
24 {'c': 1, 'la': 1, 'mu': 3, 'kind': 0, 'u': 1, 'z': 8} left 0 moduli 3
25 {'c': 1, 'la': 1, 'mu': 3, 'kind': 0, 'u': 1, 'z': 16} left 0 moduli 4
26 {'c': 1, 'la': 1, 'mu': 3, 'kind': 0, 'u': 1, 'z': 24} left 0 moduli 4
27 {'c': 1, 'la': 1, 'mu': 3, 'kind': 0, 'u': 1, 'z': 32} left 0 moduli 6
28 {'c': 1, 'la': 1, 'mu': 3, 'kind': 0, 'u': 1, 'z': 40} left 0 moduli 4
29 {'c': 1, 'la': 1, 'mu': 3, 'kind': 0, 'u': 1, 'z': 48} left 0 moduli 7
30 {'c': 1, 'la': 1, 'mu': 3, 'kind': 0, 'u': 1, 'z': 56} left 0 moduli 5
31 {'c': 1, 'la': 1, 'mu': 3, 'kind': 0, 'u': 1, 'z': 64} left 0 moduli 4
32 {'c': 1, 'la': 1, 'mu': 3, 'kind': 0, 'u': 1, 'z': 72} left 0 moduli 6
33 {'c': 1, 'la': 1, 'mu': 3, 'kind': 0, 'u': 1, 'z': 80} left 0 moduli 6
34 {'c': 1, 'la': 1, 'mu': 3, 'kind': 0, 'u': 1, 'z': 88} left 0 moduli 4
35 {'c': 1, 'la': 1, 'mu': 3, 'kind': 0, 'u': 1, 'z': 96} left 0 moduli 4
36 {'c': 1, 'la': 1, 'mu': 3, 'kind': 0, 'u': 1, 'z': 104} left 0 moduli 8
37 {'c': 1, 'la': 1, 'mu': 3, 'kind': 0, 'u': 1, 'z': 112} left 0 moduli 3
38 {'c': 1, 'la': 1, 'mu': 3, 'kind': 0, 'u': 1, 'z': 120} left 0 moduli 3
39 {'c': 1, 'la': 1, 'mu': 3, 'kind': 0, 'u': 1, 'z': 128} left 0 moduli 5
40 {'c': 1, 'la': 1, 'mu': 3, 'kind': 0, 'u': 3, 'z': 8} left 0 moduli 6
41 {'c': 1, 'la': 1, 'mu': 3, 'kind': 1, 'u': 1, 'z': 11} left 0 moduli 3
42 {'c': 1, 'la': 1, 'mu': 3, 'kind': 1, 'u': 1, 'z': 27} left 0 moduli 4
43 {'c': 1, 'la': 1, 'mu': 3, 'kind': 1, 'u': 1, 'z': 43} left 0 moduli 3
44 {'c': 1, 'la': 1, 'mu': 3, 'kind': 1, 'u': 1, 'z': 59} left 0 moduli 4
45 {'c': 1, 'la': 1, 'mu': 3, 'kind': 1, 'u': 1, 'z': 75} left 0 moduli 9
46 {'c': 1, 'la': 1, 'mu': 3, 'kind': 1, 'u': 1, 'z': 91} left 0 moduli 5
47 {'c': 1, 'la': 1, 'mu': 3, 'kind': 1, 'u': 1, 'z': 107} left 0 moduli 4
48 {'c': 1, 'la': 1, 'mu': 3, 'kind': 1, 'u': 1, 'z': 123} left 0 moduli 7
49 {'c': 1, 'la': 1, 'mu': 3, 'kind': 1, 'u': 5, 'z': 3} left 0 moduli 9
50 {'c': 1, 'la': 1, 'mu': 3, 'kind': 2, 'u': 1, 'z': 7} left 0 moduli 14
51 {'c': 1, 'la': 1, 'mu': 3, 'kind': 2, 'u': 1, 'z': 23} left 0 moduli 10
52 {'c': 1, 'la': 1, 'mu': 3, 'kind': 2, 'u': 1, 'z': 39} left 0 moduli 10
53 {'c': 1, 'la': 1, 'mu': 3, 'kind': 2, 'u': 1, 'z': 55} left 0 moduli 11
54 {'c': 1, 'la': 1, 'mu': 3, 'kind': 2, 'u': 1, 'z': 71} left 0 moduli 4
55 {'c': 1, 'la': 1, 'mu': 3, 'kind': 2, 'u': 1, 'z': 87} left 0 moduli 13
56 {'c': 1, 'la': 1, 'mu': 3, 'kind': 2, 'u': 1, 'z': 103} left 0 moduli 3
57 {'c': 1, 'la': 1, 'mu': 3, 'kind': 2, 'u': 1, 'z': 119} left 0 moduli 11
58 {'c': 3, 'la': 1, 'mu': 1, 'kind': 0, 'u': 1, 'z': 24} left 1 moduli 7
59 {'c': 3, 'la': 1, 'mu': 1, 'kind': 0, 'u': 1, 'z': 48} left 0 moduli 2
60 {'c': 3, 'la': 1, 'mu': 1, 'kind': 0, 'u': 1, 'z': 72} left 0 moduli 7
61 {'c': 3, 'la': 1, 'mu': 1, 'kind': 0, 'u': 1, 'z': 96} left 0 moduli 2
62 {'c': 3, 'la': 1, 'mu': 1, 'kind': 0, 'u': 1, 'z': 120} left 0 moduli 7
63 {'c': 3, 'la': 1, 'mu': 1, 'kind': 1, 'u': 1, 'z': 3} left 0 moduli 2
64 {'c': 3, 'la': 1, 'mu': 1, 'kind': 1, 'u': 1, 'z': 51} left 0 moduli 6
65 {'c': 3, 'la': 1, 'mu': 1, 'kind': 1, 'u': 1, 'z': 99} left 0 moduli 3
66 {'c': 3, 'la': 1, 'mu': 1, 'kind': 2, 'u': 1, 'z': 15} left 0 moduli 12
67 {'c': 3, 'la': 1, 'mu': 1, 'kind': 2, 'u': 1, 'z': 63} left 0 moduli 12
68 {'c': 3, 'la': 1, 'mu': 1, 'kind': 2, 'u': 1, 'z': 111} left 0 moduli 9
ALL 69 CLOSED 66 seconds 7.85
