GATES {'sum_gate': 377405, 'z14_gate': 352916, 'e2_gate': 5663} ROOT_LISTS {3: 9, 4: 45, 5: 45, 6: 165, 7: 165, 8: 495} PARAMETERS 36
JETS 100 {'inconsistent': 100} seconds 2.19
JETS 200 {'inconsistent': 200} seconds 3.8
JETS 300 {'inconsistent': 300} seconds 5.37
JETS 400 {'inconsistent': 400} seconds 7.12
JETS 500 {'inconsistent': 500} seconds 8.94
JETS 600 {'inconsistent': 596, 'rank36_factor': 4} seconds 10.51
JETS 700 {'inconsistent': 694, 'rank36_factor': 6} seconds 12.13
JETS 800 {'inconsistent': 792, 'rank36_factor': 8} seconds 13.78
JETS 900 {'inconsistent': 892, 'rank36_factor': 8} seconds 15.33
JETS 1000 {'inconsistent': 990, 'rank36_factor': 10} seconds 17.54
JETS 1100 {'inconsistent': 1090, 'rank36_factor': 10} seconds 19.45
JETS 1200 {'inconsistent': 1188, 'rank36_factor': 12} seconds 21.6
JETS 1300 {'inconsistent': 1288, 'rank36_factor': 12} seconds 23.43
JETS 1400 {'inconsistent': 1383, 'rank36_factor': 17} seconds 25.12
JETS 1500 {'inconsistent': 1480, 'rank36_factor': 20} seconds 26.83
JETS 1600 {'inconsistent': 1578, 'rank36_factor': 22} seconds 28.39
JETS 1700 {'inconsistent': 1675, 'rank36_factor': 25} seconds 30.21
JETS 1800 {'inconsistent': 1775, 'rank36_factor': 25} seconds 31.69
JETS 1900 {'inconsistent': 1872, 'rank36_factor': 28} seconds 33.61
JETS 2000 {'inconsistent': 1971, 'rank36_factor': 29} seconds 35.41
JETS 2100 {'inconsistent': 2066, 'rank36_factor': 34} seconds 36.9
JETS 2200 {'inconsistent': 2162, 'rank36_factor': 38} seconds 38.51
JETS 2300 {'inconsistent': 2259, 'rank36_factor': 41} seconds 40.09
JETS 2400 {'inconsistent': 2357, 'rank36_factor': 43} seconds 41.7
JETS 2500 {'inconsistent': 2453, 'rank36_factor': 47} seconds 43.78
JETS 2600 {'inconsistent': 2551, 'rank36_factor': 49} seconds 45.78
JETS 2700 {'inconsistent': 2648, 'rank36_factor': 52} seconds 47.18
JETS 2800 {'inconsistent': 2741, 'rank36_factor': 59} seconds 49.13
JETS 2900 {'inconsistent': 2838, 'rank36_factor': 62} seconds 51.08
JETS 3000 {'inconsistent': 2933, 'rank36_factor': 67} seconds 53.18
JETS 3100 {'inconsistent': 3030, 'rank36_factor': 70} seconds 55.11
JETS 3200 {'inconsistent': 3130, 'rank36_factor': 70} seconds 56.59
JETS 3300 {'inconsistent': 3225, 'rank36_factor': 75} seconds 58.77
JETS 3400 {'inconsistent': 3321, 'rank36_factor': 79} seconds 60.67
JETS 3500 {'inconsistent': 3417, 'rank36_factor': 83} seconds 62.58
JETS 3600 {'inconsistent': 3514, 'rank36_factor': 86} seconds 64.37
JETS 3700 {'inconsistent': 3610, 'rank36_factor': 90} seconds 66.69
JETS 3800 {'inconsistent': 3710, 'rank36_factor': 90} seconds 68.2
JETS 3900 {'inconsistent': 3810, 'rank36_factor': 90} seconds 69.63
JETS 4000 {'inconsistent': 3908, 'rank36_factor': 92} seconds 71.5
JETS 4100 {'inconsistent': 4005, 'rank36_factor': 95} seconds 73.49
JETS 4200 {'inconsistent': 4102, 'rank36_factor': 98} seconds 75.67
JETS 4300 {'inconsistent': 4198, 'rank36_factor': 102} seconds 77.91
JETS 4400 {'inconsistent': 4294, 'rank36_factor': 106} seconds 80.37
JETS 4500 {'inconsistent': 4393, 'rank36_factor': 107} seconds 82.2
JETS 4600 {'inconsistent': 4493, 'rank36_factor': 107} seconds 84.12
JETS 4700 {'inconsistent': 4593, 'rank36_factor': 107} seconds 85.84
JETS 4800 {'inconsistent': 4693, 'rank36_factor': 107} seconds 87.61
JETS 4900 {'inconsistent': 4791, 'rank36_factor': 109} seconds 89.78
JETS 5000 {'inconsistent': 4887, 'rank36_factor': 113} seconds 92.07
JETS 5100 {'inconsistent': 4984, 'rank36_factor': 116} seconds 94.52
JETS 5200 {'inconsistent': 5081, 'rank36_factor': 119} seconds 96.84
JETS 5300 {'inconsistent': 5181, 'rank36_factor': 119} seconds 98.54
JETS 5400 {'inconsistent': 5281, 'rank36_factor': 119} seconds 100.28
JETS 5500 {'inconsistent': 5381, 'rank36_factor': 119} seconds 102.06
JETS 5600 {'inconsistent': 5481, 'rank36_factor': 119} seconds 103.96
DONE {'status': 'DISCOVERY_COMPLETE', 'processed': 5663, 'counts': {'inconsistent': 5544, 'rank36_factor': 119}, 'unresolved': [], 'seconds': 105.261}
