GATES {'sum_gate': 1177156, 'z14_gate': 1132314, 'e2_gate': 15620} ROOT_LISTS {3: 10, 4: 55, 5: 55, 6: 220, 7: 220, 8: 715} PARAMETERS 49
JETS 100 {'inconsistent': 100} seconds 3.12
JETS 200 {'inconsistent': 200} seconds 4.73
JETS 300 {'inconsistent': 300} seconds 6.31
JETS 400 {'inconsistent': 400} seconds 8.06
JETS 500 {'inconsistent': 500} seconds 9.76
JETS 600 {'inconsistent': 600} seconds 11.54
JETS 700 {'inconsistent': 700} seconds 13.34
JETS 800 {'inconsistent': 800} seconds 15.21
JETS 900 {'inconsistent': 900} seconds 17.04
JETS 1000 {'inconsistent': 1000} seconds 19.06
JETS 1100 {'inconsistent': 1100} seconds 21.28
JETS 1200 {'inconsistent': 1197, 'rank49_factor': 3} seconds 23.05
JETS 1300 {'inconsistent': 1296, 'rank49_factor': 4} seconds 24.69
JETS 1400 {'inconsistent': 1394, 'rank49_factor': 6} seconds 26.47
JETS 1500 {'inconsistent': 1493, 'rank49_factor': 7} seconds 28.19
JETS 1600 {'inconsistent': 1592, 'rank49_factor': 8} seconds 30.36
JETS 1700 {'inconsistent': 1692, 'rank49_factor': 8} seconds 33.17
JETS 1800 {'inconsistent': 1791, 'rank49_factor': 9} seconds 35.84
JETS 1900 {'inconsistent': 1890, 'rank49_factor': 10} seconds 38.52
JETS 2000 {'inconsistent': 1990, 'rank49_factor': 10} seconds 40.49
JETS 2100 {'inconsistent': 2090, 'rank49_factor': 10} seconds 42.95
JETS 2200 {'inconsistent': 2188, 'rank49_factor': 12} seconds 45.67
JETS 2300 {'inconsistent': 2288, 'rank49_factor': 12} seconds 47.44
JETS 2400 {'inconsistent': 2388, 'rank49_factor': 12} seconds 49.35
JETS 2500 {'inconsistent': 2486, 'rank49_factor': 14} seconds 51.78
JETS 2600 {'inconsistent': 2586, 'rank49_factor': 14} seconds 53.65
JETS 2700 {'inconsistent': 2686, 'rank49_factor': 14} seconds 55.83
JETS 2800 {'inconsistent': 2785, 'rank49_factor': 15} seconds 57.64
JETS 2900 {'inconsistent': 2882, 'rank49_factor': 18} seconds 59.41
JETS 3000 {'inconsistent': 2979, 'rank49_factor': 21} seconds 61.2
JETS 3100 {'inconsistent': 3079, 'rank49_factor': 21} seconds 62.73
JETS 3200 {'inconsistent': 3177, 'rank49_factor': 23} seconds 64.65
JETS 3300 {'inconsistent': 3276, 'rank49_factor': 24} seconds 66.44
