case,size,det_mod_65521,full_augmented
0,65,11578,1
1,65,54473,1
2,65,2818,1
3,65,39331,1
4,65,36549,1
5,65,30023,1
6,65,35123,1
7,65,1127,1
8,65,9366,1
9,65,63141,1
10,65,51603,1
11,65,55537,1
12,65,43164,1
13,65,8060,1
14,65,58491,1
15,65,54398,1
16,65,62469,1
17,65,35624,1
18,65,45447,1
19,65,35412,1
20,65,59882,1
21,65,46029,1
22,65,47032,1
23,65,187,1
24,65,14305,1
25,65,22030,1
26,65,31243,1
27,65,1713,1
28,65,31520,1
29,65,43009,1
30,65,38330,1
31,65,16321,1
32,65,39054,1
33,65,42266,1
34,65,56459,1
35,65,9742,1
36,65,22632,1
37,65,21572,1
38,65,25210,1
39,65,2125,1
40,65,40610,1
41,65,63101,1
42,65,30895,1
43,65,26389,1
44,65,53159,1
45,65,59372,1
46,65,49296,1
47,65,4939,1
48,65,27269,1
49,65,26040,1
50,65,31155,1
51,65,5324,1
52,65,38633,1
53,65,42393,1
54,65,24830,1
55,65,21476,1
56,65,7043,1
57,65,41846,1
58,65,58066,1
59,65,44576,1
60,65,48574,1
61,65,12333,1
62,65,9147,1
63,65,61476,1
64,65,36078,1
65,65,11853,1
66,65,41016,1
67,65,57579,1
68,65,19649,1
69,65,42867,1
70,65,50245,1
71,65,34997,1
72,65,34699,1
73,65,37820,1
74,65,16264,1
75,65,22388,1
76,65,3987,1
77,65,63411,1
78,65,21155,1
79,65,50568,1
80,65,24246,1
81,65,35445,1
82,65,18064,1
83,65,30705,1
84,65,30211,1
85,65,64324,1
86,65,19134,1
87,65,56084,1
88,65,64489,1
89,65,16980,1
90,65,402,1
91,65,39133,1
92,65,13048,1
93,65,21463,1
94,65,47523,1
95,65,16524,1
96,65,55975,1
97,65,32722,1
98,65,50800,1
99,65,51631,1
100,65,28879,1
101,65,15951,1
102,65,1124,1
103,65,44825,1
104,65,32989,1
105,65,10926,1
106,65,20220,1
107,65,39069,1
108,65,23429,1
109,65,52303,1
110,65,29606,1
111,65,60266,1
112,65,29528,1
113,65,1833,1
114,65,20858,1
115,65,16093,1
116,65,6883,1
117,65,35079,1
118,65,34245,1
119,65,57263,1
120,65,8001,1
121,65,58601,1
122,65,13505,1
123,65,42955,1
124,65,5994,1
125,65,50486,1
126,65,10984,1
127,65,62316,1
128,65,34947,1
129,65,34979,1
130,65,28429,1
131,65,18539,1
132,65,47898,1
133,65,2598,1
134,65,30322,1
135,65,9455,1
136,65,57249,1
137,65,45332,1
138,65,28144,1
139,65,6548,1
140,65,4703,1
141,65,47999,1
142,65,59244,1
143,65,59005,1
144,65,11995,1
145,65,17740,1
146,65,18702,1
147,65,45963,1
148,65,28456,1
149,65,50579,1
150,65,42300,1
151,65,55010,1
152,65,51992,1
153,65,63125,1
154,65,46951,1
155,65,53914,1
156,65,62953,1
157,65,52078,1
158,65,14309,1
159,65,51086,1
160,65,6340,1
161,65,50791,1
162,65,6910,1
163,65,42757,1
164,65,27145,1
165,65,5700,1
166,65,54790,1
167,65,25434,1
168,65,26794,1
169,65,55786,1
170,65,62040,1
171,65,60669,1
