case,size,det_mod_65521,full_augmented
0,226,49395,1
1,226,49541,1
2,226,53478,1
3,226,524,1
4,226,36305,1
5,226,64522,1
6,226,23522,1
7,226,3949,1
8,226,1178,1
9,226,3708,1
10,226,41492,1
11,226,815,1
12,226,15332,1
13,226,4533,1
14,226,58473,1
15,226,38675,1
16,226,14666,1
17,226,932,1
18,226,26496,1
19,226,36305,1
20,226,19296,1
21,226,22651,1
22,226,28880,1
23,226,36383,1
24,226,64627,1
25,226,58569,1
26,226,6247,1
27,226,45059,1
28,226,47510,1
29,226,24085,1
30,226,28351,1
31,226,41149,1
32,226,6554,1
33,226,59812,1
34,226,992,1
35,226,47259,1
36,226,12126,1
37,226,32520,1
38,226,16322,1
39,226,64470,1
40,226,12066,1
41,226,21950,1
42,226,18744,1
43,226,33342,1
44,226,25543,1
45,226,12085,1
46,226,41438,1
47,226,10276,1
48,226,26786,1
49,226,9378,1
50,226,20875,1
51,226,8567,1
52,226,58793,1
53,226,30532,1
54,226,35942,1
55,226,57407,1
56,226,45545,1
57,226,48810,1
58,226,13873,1
59,226,14390,1
60,226,58789,1
61,226,24078,1
62,226,15218,1
63,226,25079,1
64,226,31986,1
65,226,29823,1
66,226,5998,1
67,226,16297,1
68,226,51511,1
69,226,21003,1
70,226,51492,1
71,226,7234,1
72,226,44582,1
73,226,7242,1
74,226,62380,1
75,226,61779,1
76,226,21607,1
77,226,33211,1
78,226,27899,1
79,226,26652,1
80,226,43720,1
81,226,20040,1
82,226,7035,1
83,226,31435,1
84,226,44351,1
85,226,43806,1
86,226,34829,1
87,226,45431,1
88,226,47911,1
89,226,45766,1
90,226,34585,1
91,226,54132,1
92,226,29260,1
93,226,33369,1
94,226,53707,1
95,226,55393,1
96,226,17696,1
97,226,10090,1
98,226,50828,1
99,226,12350,1
100,226,38739,1
101,226,47707,1
102,226,64524,1
103,226,2112,1
104,226,28185,1
105,226,62393,1
106,226,29094,1
107,226,24407,1
108,226,48602,1
109,226,62293,1
110,226,50733,1
111,226,6007,1
112,226,8757,1
113,226,4423,1
114,226,64034,1
115,226,28283,1
116,226,62749,1
117,226,54273,1
118,226,43601,1
119,226,62968,1
120,226,3452,1
121,226,47888,1
122,226,15775,1
123,226,50209,1
124,226,13411,1
125,226,48135,1
126,226,49805,1
127,226,62024,1
128,226,56816,1
129,226,58663,1
130,226,13652,1
131,226,55054,1
132,226,6868,1
133,226,29489,1
134,226,5397,1
135,226,13418,1
136,226,17298,1
137,226,59170,1
138,226,50975,1
139,226,4482,1
140,226,19633,1
141,226,48898,1
142,226,59066,1
143,226,53404,1
144,226,48628,1
145,226,46441,1
146,226,61462,1
147,226,829,1
148,226,31861,1
149,226,34750,1
150,226,45411,1
151,226,12845,1
152,226,61707,1
153,226,59573,1
154,226,10559,1
155,226,50347,1
156,226,32110,1
157,226,11319,1
158,226,55718,1
159,226,56389,1
160,226,23849,1
161,226,18582,1
162,226,59529,1
163,226,15639,1
164,226,14989,1
165,226,52792,1
166,226,47371,1
167,226,21952,1
168,226,22823,1
169,226,44728,1
170,226,39178,1
171,226,24213,1
172,226,52039,1
173,226,14994,1
174,226,38130,1
175,226,19900,1
176,226,27319,1
177,226,15690,1
178,226,65317,1
179,226,37651,1
180,226,2207,1
181,226,24706,1
182,226,38075,1
183,226,49178,1
184,226,38520,1
185,226,55455,1
186,226,51755,1
187,226,57732,1
188,226,26838,1
189,226,55760,1
190,226,52668,1
191,226,20709,1
192,226,4273,1
193,226,48247,1
194,226,9995,1
195,226,56321,1
196,226,45593,1
197,226,59408,1
198,226,50891,1
199,226,11470,1
200,226,38582,1
201,226,28883,1
202,226,33266,1
203,226,30539,1
204,226,17475,1
205,226,25916,1
206,226,47087,1
207,226,11752,1
208,226,32654,1
209,226,25451,1
210,226,13140,1
211,226,49135,1
212,226,31474,1
213,226,32540,1
214,226,19729,1
215,226,56780,1
216,226,36615,1
217,226,6611,1
218,226,34427,1
219,226,60371,1
220,226,12869,1
221,226,46093,1
222,226,53802,1
223,226,45297,1
224,226,26309,1
225,226,46606,1
226,226,43052,1
227,226,34720,1
228,226,55891,1
229,226,18439,1
230,226,5735,1
231,226,62109,1
232,226,58236,1
233,226,55919,1
234,226,45525,1
235,226,34740,1
236,226,58920,1
237,226,46087,1
238,226,15447,1
239,226,42062,1
240,226,38288,1
241,226,23160,1
242,226,34234,1
243,226,24295,1
244,226,23759,1
245,226,25738,1
246,226,48749,1
247,226,20045,1
248,226,44863,1
249,226,37162,1
250,226,43872,1
251,226,39171,1
252,226,13548,1
253,226,31319,1
254,226,21936,1
255,226,27855,1
256,226,45077,1
257,226,18971,1
258,226,48690,1
259,226,24930,1
260,226,36347,1
261,226,61662,1
262,226,39841,1
263,226,30667,1
264,226,14444,1
265,226,11605,1
266,226,14871,1
267,226,49570,1
268,226,36192,1
269,226,4572,1
270,226,32804,1
271,226,28887,1
272,226,12519,1
273,226,40432,1
274,226,12033,1
275,226,41555,1
276,226,23300,1
277,226,4461,1
278,226,45264,1
279,226,38038,1
280,226,64751,1
281,226,13873,1
282,226,42549,1
283,226,36058,1
284,226,57204,1
285,226,38516,1
286,226,46834,1
287,226,13081,1
288,226,53327,1
289,226,18446,1
290,226,32024,1
291,226,47908,1
292,226,713,1
293,226,29795,1
294,226,38136,1
295,226,60138,1
296,226,12597,1
297,226,34218,1
298,226,26711,1
299,226,3623,1
300,226,58013,1
301,226,38014,1
302,226,61362,1
303,226,31523,1
304,226,2957,1
305,226,19406,1
306,226,45160,1
307,226,22122,1
308,226,44753,1
309,226,32669,1
310,226,58348,1
311,226,42282,1
312,226,17674,1
313,226,49052,1
314,226,1662,1
315,226,32033,1
316,226,43879,1
317,226,55613,1
318,226,6739,1
319,226,37228,1
320,226,30266,1
321,226,17828,1
322,226,2568,1
323,226,11032,1
324,226,2731,1
325,226,57494,1
326,226,51453,1
327,226,39825,1
328,226,3791,1
329,226,61777,1
330,226,35221,1
331,226,47590,1
332,226,20805,1
333,226,60435,1
334,226,41091,1
335,226,42360,1
336,226,13012,1
337,226,59675,1
338,226,54971,1
339,226,36795,1
340,226,58678,1
341,226,18674,1
342,226,28537,1
343,226,39837,1
344,226,45106,1
345,226,42304,1
346,226,1745,1
347,226,59066,1
348,226,39604,1
349,226,20979,1
350,226,60126,1
351,226,43905,1
352,226,64591,1
353,226,38247,1
354,226,25913,1
355,226,53827,1
356,226,52833,1
357,226,27875,1
358,226,29836,1
359,226,16705,1
