g	U	V	P	Q	A	epsilon	X	numerator	denominator	remainder
1	5	11	29	13	2	1	144	4900	24200	4900
1	7	9	19	15	1	-1	134	4274	15876	4274
1	7	11	17	11	1	-1	120	2056	23716	2056
1	7	15	41	19	2	1	286	14800	88200	14800
2	5	39	101	13	7	-1	506	68275	266175	68275
2	5	61	159	13	11	1	794	107483	1023275	107483
2	5	139	361	13	25	-1	1806	244035	12075625	244035
2	5	161	419	13	29	1	2094	283243	18792725	283243
2	5	239	621	13	43	-1	3106	419795	61405075	419795
2	7	9	19	15	1	-1	134	17099	3969	1223
2	7	11	17	11	1	-1	120	8227	5929	2298
2	7	83	225	19	11	-1	1576	324899	3713171	324899
2	7	113	307	19	15	1	2148	443307	9385215	443307
2	7	185	291	11	17	1	2036	140843	28509425	140843
2	7	187	401	15	21	1	2806	360899	35983101	360899
2	7	205	439	15	23	-1	3074	395099	47362175	395099
2	7	207	325	11	19	-1	2276	157299	39892419	157299
2	9	103	149	13	7	1	1340	100723	6015303	100723
2	9	137	259	17	11	1	2330	299403	16723179	299403
2	9	143	397	25	15	-1	3574	992499	24845535	992499
2	9	181	503	25	19	1	4526	1257499	50419179	1257499
2	9	187	353	17	15	-1	3178	408067	42487335	408067
2	9	221	319	13	15	-1	2872	215643	59341815	215643
2	11	93	127	15	5	1	1396	114299	5232645	114299
2	11	113	195	19	7	-1	2146	281579	10815343	281579
2	11	185	387	23	13	1	4256	818891	53835925	818891
2	11	191	469	27	15	1	5158	1367603	66213015	1367603
2	11	219	617	31	19	-1	6788	2371747	110262339	2371747
2	13	89	171	25	5	-1	2224	427499	6693245	427499
2	13	177	395	29	11	1	5134	1328779	58240611	1328779
2	13	179	289	21	9	-1	3758	509795	48734361	509795
2	13	191	485	33	13	1	6304	2112659	80148757	2112659
2	15	71	109	23	3	1	1634	230643	3402675	230643
2	15	137	283	31	7	-1	4246	1087851	29561175	1087851
2	17	107	233	37	5	1	3960	1275907	16543805	1275907
2	17	213	263	21	7	-1	4472	463931	91781487	463931
2	19	157	223	27	5	-1	4238	650267	44491445	650267
2	19	163	369	43	7	1	7010	2729123	67139863	2729123
2	21	115	137	25	3	1	2876	342499	17496675	342499
2	21	247	341	29	7	-1	7162	1147123	188334783	1147123
2	23	123	337	63	5	1	7750	5350211	40016205	5350211
2	23	127	149	27	3	-1	3428	434483	25596723	434483
2	23	129	331	59	5	1	7612	4608843	44015445	4608843
2	23	143	317	51	5	-1	7292	3298067	54087605	3298067
2	25	121	179	37	3	-1	4476	980203	27451875	980203
2	25	133	367	69	5	-1	9176	6989147	55278125	6989147
2	27	31	77	67	1	1	2078	1382611	700569	682042
2	27	47	61	35	1	1	1646	298899	1610361	298899
2	27	125	199	43	3	-1	5374	1471803	34171875	1471803
2	27	197	343	47	5	1	9260	3030747	141458805	3030747
2	29	33	83	73	1	-1	2408	1769227	915849	853378
2	29	41	75	53	1	1	2174	842699	1413721	842699
2	29	51	65	37	1	-1	1886	355939	2187441	355939
2	29	103	245	69	3	-1	7106	4665779	26766507	4665779
2	33	139	257	61	3	1	8480	3825187	63121707	3825187
2	35	43	97	79	1	-1	3396	2421507	2265025	156482
2	35	57	83	51	1	-1	2906	863531	3980025	863531
2	37	155	289	69	3	-1	10694	5503715	98670675	5503715
2	37	191	253	49	3	1	9360	2429811	149827467	2429811
2	39	125	343	107	3	1	13376	15708027	71296875	15708027
2	39	227	553	95	5	1	21566	19963299	391878045	19963299
2	41	57	107	77	1	-1	4388	2537611	5461569	2537611
2	41	59	105	73	1	-1	4306	2238179	5851561	2238179
2	41	131	361	113	3	-1	14802	18438435	86542923	18438435
2	47	241	323	63	3	-1	15182	5127947	384902787	5127947
2	49	215	373	85	3	1	18276	10779699	332958675	10779699
2	57	67	161	137	1	-1	9178	12087235	14584761	12087235
2	57	73	155	121	1	1	8834	9077419	17313921	9077419
2	57	89	139	89	1	1	7922	4404075	25735329	4404075
2	57	97	131	77	1	-1	7468	3106795	30569841	3106795
2	57	193	491	145	3	1	27986	41293099	363066003	41293099
2	61	235	497	129	3	1	30316	33082307	616476675	33082307
2	65	71	189	173	1	1	12284	22626323	21298225	1328098
2	65	119	141	77	1	1	9164	3343955	59830225	3343955
2	65	251	529	137	3	-1	34386	39715203	798537675	39715203
2	67	73	195	179	1	-1	13066	24991979	23921881	1070098
2	67	123	145	79	1	-1	9716	3619779	67914081	3619779
2	69	89	187	145	1	-1	12904	15726699	37711881	15726699
2	69	107	169	109	1	-1	11662	8031555	54508689	8031555
2	97	123	265	209	1	-1	25706	46301859	142348761	46301859
2	97	153	235	149	1	-1	22796	20868939	220255281	20868939
2	117	131	337	301	1	-1	39430	122130147	234916929	122130147
2	117	209	259	145	1	-1	30304	21781899	597949209	21781899
2	119	127	349	327	1	1	41530	149272883	228402769	149272883
2	119	223	253	135	1	1	30106	18443699	704212369	18443699
2	121	129	355	333	1	-1	42956	157462379	243640881	157462379
2	121	227	257	137	1	-1	31098	19294531	754436089	19294531
2	155	171	449	407	1	-1	69596	297505603	702515025	297505603
2	159	217	419	307	1	1	66620	157961323	1190457009	157961323
2	159	233	403	275	1	1	64076	121907499	1372480209	121907499
2	167	193	475	411	1	1	79324	320949899	1038837361	320949899
2	169	239	437	309	1	1	73852	166900787	1631432881	166900787
2	171	233	451	331	1	-1	77122	197648043	1587464649	197648043
2	171	251	433	295	1	-1	74044	150727299	1842212241	150727299
2	189	199	557	529	1	1	105272	623485747	1414587321	623485747
2	191	201	563	535	1	-1	107534	644578699	1473868881	644578699
2	203	249	563	459	1	-1	114290	474453611	2554999209	474453611
