STATE 127 [12, 10, 9, 8, 6, 6] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=4571, misses=478, maxsize=None, currsize=478) secs 0.030651330947875977
STATE 129 [11, 10, 8, 7, 5, 6] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=11680, misses=1183, maxsize=None, currsize=1183) secs 0.09215760231018066
STATE 133 [9, 8, 7, 6, 4, 5] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=11878, misses=1199, maxsize=None, currsize=1199) secs 0.0932457447052002
STATE 133 [9, 8, 7, 6, 5, 4] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=13103, misses=1340, maxsize=None, currsize=1340) secs 0.10142850875854492
STATE 137 [7, 6, 5, 5, 3, 5] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=27314, misses=2534, maxsize=None, currsize=2534) secs 0.17794537544250488
STATE 137 [7, 6, 5, 5, 4, 4] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=85638, misses=5051, maxsize=None, currsize=5051) secs 0.4249875545501709
STATE 137 [7, 6, 6, 5, 3, 4] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=88128, misses=5269, maxsize=None, currsize=5269) secs 0.4429788589477539
STATE 138 [7, 6, 5, 4, 3, 4] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=92875, misses=5609, maxsize=None, currsize=5609) secs 0.4634428024291992
STATE 139 [6, 6, 5, 4, 3, 3] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=94000, misses=5706, maxsize=None, currsize=5706) secs 0.4692857265472412
STATE 142 [5, 4, 3, 3, 2, 4] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=105460, misses=6557, maxsize=None, currsize=6557) secs 0.5189642906188965
STATE 142 [5, 4, 4, 3, 2, 3] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=106742, misses=6659, maxsize=None, currsize=6659) secs 0.5250205993652344
STATE 142 [5, 4, 4, 3, 3, 2] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=107148, misses=6713, maxsize=None, currsize=6713) secs 0.5281462669372559
STATE 142 [5, 4, 4, 4, 2, 2] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=107444, misses=6750, maxsize=None, currsize=6750) secs 0.5305242538452148
STATE 143 [4, 4, 3, 3, 2, 3] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=212180, misses=10472, maxsize=None, currsize=10472) secs 0.9067914485931396
STATE 143 [4, 4, 3, 3, 3, 2] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=249286, misses=12141, maxsize=None, currsize=12141) secs 1.0382249355316162
STATE 143 [4, 4, 3, 4, 2, 2] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=260915, misses=12901, maxsize=None, currsize=12901) secs 1.083059310913086
STATE 143 [4, 4, 4, 3, 2, 2] LEAVES 3 SURVIVE 1 CACHE CacheInfo(hits=266598, misses=13263, maxsize=None, currsize=13263) secs 1.1050314903259277
STATE 145 [3, 3, 2, 3, 2, 2] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=298500, misses=14393, maxsize=None, currsize=14393) secs 1.1878786087036133
STATE 145 [3, 3, 3, 2, 2, 2] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=304723, misses=14705, maxsize=None, currsize=14705) secs 1.219465970993042
STATE 145 [3, 3, 3, 3, 1, 2] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=306092, misses=14777, maxsize=None, currsize=14777) secs 1.2271692752838135
STATE 147 [2, 2, 2, 2, 1, 2] LEAVES 3 SURVIVE 2 CACHE CacheInfo(hits=328376, misses=15606, maxsize=None, currsize=15606) secs 1.3424451351165771
STATE 147 [2, 2, 2, 2, 2, 1] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=328473, misses=15611, maxsize=None, currsize=15611) secs 1.3429200649261475
STATE 147 [2, 2, 3, 2, 1, 1] LEAVES 1 SURVIVE 1 CACHE CacheInfo(hits=328495, misses=15611, maxsize=None, currsize=15611) secs 1.3432588577270508
STATE 147 [2, 3, 2, 2, 1, 1] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=328496, misses=15611, maxsize=None, currsize=15611) secs 1.3435487747192383
STATE 148 [2, 2, 1, 1, 1, 2] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=347582, misses=16579, maxsize=None, currsize=16579) secs 1.4066414833068848
STATE 149 [1, 2, 1, 1, 0, 2] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=364371, misses=17494, maxsize=None, currsize=17494) secs 1.4659819602966309
STATE 149 [1, 2, 1, 1, 1, 1] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=375460, misses=17992, maxsize=None, currsize=17992) secs 1.4997329711914062
STATE 149 [1, 2, 1, 2, 0, 1] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=383365, misses=18439, maxsize=None, currsize=18439) secs 1.5281193256378174
STATE 149 [1, 2, 2, 1, 0, 1] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=384467, misses=18515, maxsize=None, currsize=18515) secs 1.5328764915466309
STATE 150 [1, 1, 1, 1, 0, 1] LEAVES 4 SURVIVE 0 CACHE CacheInfo(hits=387262, misses=18692, maxsize=None, currsize=18692) secs 1.5441462993621826
STATE 151 [0, 1, 0, 1, 0, 1] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=424721, misses=19827, maxsize=None, currsize=19827) secs 1.6336021423339844
STATE 151 [0, 1, 0, 1, 1, 0] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=429508, misses=20075, maxsize=None, currsize=20075) secs 1.6499745845794678
STATE 151 [0, 1, 1, 1, 0, 0] LEAVES 4 SURVIVE 0 CACHE CacheInfo(hits=430627, misses=20140, maxsize=None, currsize=20140) secs 1.654829740524292
STATE 152 [0, 0, 0, 0, 0, 1] LEAVES 4 SURVIVE 0 CACHE CacheInfo(hits=446008, misses=20820, maxsize=None, currsize=20820) secs 1.7012104988098145
STATE 152 [0, 0, 0, 0, 1, 0] LEAVES 4 SURVIVE 0 CACHE CacheInfo(hits=450968, misses=21175, maxsize=None, currsize=21175) secs 1.7244977951049805
STATE 152 [0, 0, 0, 1, 0, 0] LEAVES 4 SURVIVE 0 CACHE CacheInfo(hits=473471, misses=22270, maxsize=None, currsize=22270) secs 1.8002681732177734
STATE 152 [0, 0, 1, 0, 0, 0] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=475925, misses=22477, maxsize=None, currsize=22477) secs 1.8122711181640625
SUMMARY 3
