MON [(2, 3), (1, 3), (0, 3), (4, 2), (3, 2), (2, 2), (1, 2), (0, 2), (6, 1), (5, 1), (4, 1), (3, 1), (2, 1), (1, 1), (0, 1), (8, 0), (7, 0), (6, 0), (5, 0), (4, 0), (3, 0), (2, 0), (1, 0), (0, 0)] options {3: 12, 4: 31, 5: 31, 6: 65, 7: 65, 8: 120}
PROGRESS {'nodes': 2000, 'options': 80683, 'line_reject': 46474, 'zero_reject': 32210, 'forced_line_reject': 0, 'leaves': 0} depth [1, 1, 12, 225, 1761, 0, 0] sec 6.0
PROGRESS {'nodes': 4000, 'options': 156842, 'line_reject': 87061, 'zero_reject': 65782, 'forced_line_reject': 0, 'leaves': 0} depth [1, 1, 23, 460, 3515, 0, 0] sec 12.5
CHECKPOINT 1 [[0, 4]] {'nodes': 5162, 'options': 197858, 'line_reject': 107188, 'zero_reject': 85509, 'forced_line_reject': 0, 'leaves': 0} bydepth [1, 1, 31, 588, 4541, 0, 0] sec 15.98
PROGRESS {'nodes': 6000, 'options': 235493, 'line_reject': 128614, 'zero_reject': 100880, 'forced_line_reject': 0, 'leaves': 0} depth [1, 2, 34, 642, 5292, 29, 0] sec 20.3
PROGRESS {'nodes': 8000, 'options': 327770, 'line_reject': 179935, 'zero_reject': 139836, 'forced_line_reject': 0, 'leaves': 0} depth [1, 2, 37, 733, 7009, 218, 0] sec 32.5
PROGRESS {'nodes': 10000, 'options': 450295, 'line_reject': 248462, 'zero_reject': 191834, 'forced_line_reject': 0, 'leaves': 0} depth [1, 2, 38, 757, 7779, 1423, 0] sec 44.5
PROGRESS {'nodes': 12000, 'options': 574036, 'line_reject': 318258, 'zero_reject': 243779, 'forced_line_reject': 0, 'leaves': 0} depth [1, 2, 39, 776, 8448, 2734, 0] sec 56.1
PROGRESS {'nodes': 14000, 'options': 696450, 'line_reject': 389938, 'zero_reject': 292513, 'forced_line_reject': 0, 'leaves': 0} depth [1, 2, 39, 795, 9107, 4056, 0] sec 68.7
PROGRESS {'nodes': 16000, 'options': 795569, 'line_reject': 437344, 'zero_reject': 342226, 'forced_line_reject': 0, 'leaves': 0} depth [1, 2, 42, 855, 10648, 4452, 0] sec 82.6
PROGRESS {'nodes': 18000, 'options': 920974, 'line_reject': 504617, 'zero_reject': 398358, 'forced_line_reject': 0, 'leaves': 0} depth [1, 2, 42, 874, 11388, 5693, 0] sec 93.1
PROGRESS {'nodes': 20000, 'options': 1044025, 'line_reject': 566415, 'zero_reject': 457611, 'forced_line_reject': 0, 'leaves': 0} depth [1, 2, 43, 893, 12007, 7054, 0] sec 104.9
PROGRESS {'nodes': 22000, 'options': 1138965, 'line_reject': 607907, 'zero_reject': 509059, 'forced_line_reject': 0, 'leaves': 0} depth [1, 2, 45, 955, 13699, 7298, 0] sec 118.4
PROGRESS {'nodes': 24000, 'options': 1229706, 'line_reject': 652505, 'zero_reject': 553202, 'forced_line_reject': 0, 'leaves': 0} depth [1, 2, 48, 1045, 15290, 7614, 0] sec 129.4
PROGRESS {'nodes': 26000, 'options': 1329074, 'line_reject': 711151, 'zero_reject': 591924, 'forced_line_reject': 0, 'leaves': 0} depth [1, 2, 51, 1101, 16582, 8263, 0] sec 141.4
