STATE 127 [12, 10, 9, 8, 6, 6] LEAVES 1 SURVIVE 1 CACHE CacheInfo(hits=2437, misses=402, maxsize=None, currsize=402) secs 0.01848149299621582
STATE 129 [11, 10, 8, 7, 5, 6] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=6150, misses=972, maxsize=None, currsize=972) secs 0.0466465950012207
STATE 133 [9, 8, 7, 6, 4, 5] LEAVES 1 SURVIVE 1 CACHE CacheInfo(hits=6473, misses=1010, maxsize=None, currsize=1010) secs 0.048860788345336914
STATE 133 [9, 8, 7, 6, 5, 4] LEAVES 1 SURVIVE 1 CACHE CacheInfo(hits=7075, misses=1120, maxsize=None, currsize=1120) secs 0.0539705753326416
STATE 137 [7, 6, 5, 5, 3, 5] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=16576, misses=2171, maxsize=None, currsize=2171) secs 0.10207653045654297
STATE 137 [7, 6, 5, 5, 4, 4] LEAVES 2 SURVIVE 2 CACHE CacheInfo(hits=57087, misses=4571, maxsize=None, currsize=4571) secs 0.23201203346252441
STATE 137 [7, 6, 6, 5, 3, 4] LEAVES 2 SURVIVE 2 CACHE CacheInfo(hits=58628, misses=4743, maxsize=None, currsize=4743) secs 0.24023795127868652
STATE 138 [7, 6, 5, 4, 3, 4] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=61281, misses=5013, maxsize=None, currsize=5013) secs 0.2531454563140869
STATE 139 [6, 6, 5, 4, 3, 3] LEAVES 1 SURVIVE 1 CACHE CacheInfo(hits=61751, misses=5073, maxsize=None, currsize=5073) secs 0.25645875930786133
STATE 142 [5, 4, 3, 3, 2, 4] LEAVES 2 SURVIVE 1 CACHE CacheInfo(hits=68720, misses=5793, maxsize=None, currsize=5793) secs 0.31083130836486816
STATE 142 [5, 4, 4, 3, 2, 3] LEAVES 2 SURVIVE 2 CACHE CacheInfo(hits=69586, misses=5876, maxsize=None, currsize=5876) secs 0.31841397285461426
STATE 142 [5, 4, 4, 3, 3, 2] LEAVES 2 SURVIVE 1 CACHE CacheInfo(hits=69883, misses=5925, maxsize=None, currsize=5925) secs 0.32262158393859863
