STATE 127 [12, 10, 9, 8, 6, 6] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=4486, misses=468, maxsize=None, currsize=468) secs 0.041017770767211914
STATE 129 [11, 10, 8, 7, 5, 6] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=11524, misses=1169, maxsize=None, currsize=1169) secs 0.10105705261230469
STATE 133 [9, 8, 7, 6, 4, 5] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=11722, misses=1185, maxsize=None, currsize=1185) secs 0.10216045379638672
STATE 133 [9, 8, 7, 6, 5, 4] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=12923, misses=1321, maxsize=None, currsize=1321) secs 0.10971546173095703
STATE 137 [7, 6, 5, 5, 3, 5] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=26956, misses=2499, maxsize=None, currsize=2499) secs 0.2018582820892334
STATE 137 [7, 6, 5, 5, 4, 4] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=85030, misses=5009, maxsize=None, currsize=5009) secs 0.44063448905944824
STATE 137 [7, 6, 6, 5, 3, 4] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=87466, misses=5221, maxsize=None, currsize=5221) secs 0.45270681381225586
STATE 138 [7, 6, 5, 4, 3, 4] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=92110, misses=5552, maxsize=None, currsize=5552) secs 0.4761962890625
STATE 139 [6, 6, 5, 4, 3, 3] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=93233, misses=5649, maxsize=None, currsize=5649) secs 0.4857354164123535
STATE 142 [5, 4, 3, 3, 2, 4] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=104625, misses=6498, maxsize=None, currsize=6498) secs 0.542982816696167
STATE 142 [5, 4, 4, 3, 2, 3] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=105881, misses=6598, maxsize=None, currsize=6598) secs 0.5491147041320801
STATE 142 [5, 4, 4, 3, 3, 2] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=106287, misses=6652, maxsize=None, currsize=6652) secs 0.5546259880065918
STATE 142 [5, 4, 4, 4, 2, 2] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=106583, misses=6689, maxsize=None, currsize=6689) secs 0.557793378829956
STATE 143 [4, 4, 3, 3, 2, 3] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=211084, misses=10406, maxsize=None, currsize=10406) secs 0.8536746501922607
STATE 143 [4, 4, 3, 3, 3, 2] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=247984, misses=12064, maxsize=None, currsize=12064) secs 0.9960715770721436
STATE 143 [4, 4, 3, 4, 2, 2] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=259327, misses=12795, maxsize=None, currsize=12795) secs 1.0420751571655273
STATE 143 [4, 4, 4, 3, 2, 2] LEAVES 3 SURVIVE 0 CACHE CacheInfo(hits=264854, misses=13151, maxsize=None, currsize=13151) secs 1.0645360946655273
STATE 145 [3, 3, 2, 3, 2, 2] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=296293, misses=14258, maxsize=None, currsize=14258) secs 1.1870882511138916
STATE 145 [3, 3, 3, 2, 2, 2] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=302495, misses=14569, maxsize=None, currsize=14569) secs 1.2156767845153809
STATE 145 [3, 3, 3, 3, 1, 2] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=303815, misses=14638, maxsize=None, currsize=14638) secs 1.2200829982757568
STATE 147 [2, 2, 2, 2, 1, 2] LEAVES 3 SURVIVE 0 CACHE CacheInfo(hits=326021, misses=15472, maxsize=None, currsize=15472) secs 1.3516600131988525
STATE 147 [2, 2, 2, 2, 2, 1] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=326118, misses=15477, maxsize=None, currsize=15477) secs 1.352353811264038
STATE 147 [2, 2, 3, 2, 1, 1] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=326119, misses=15477, maxsize=None, currsize=15477) secs 1.3525280952453613
STATE 147 [2, 3, 2, 2, 1, 1] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=326120, misses=15477, maxsize=None, currsize=15477) secs 1.3528499603271484
STATE 148 [2, 2, 1, 1, 1, 2] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=345197, misses=16448, maxsize=None, currsize=16448) secs 1.4514691829681396
STATE 149 [1, 2, 1, 1, 0, 2] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=361747, misses=17351, maxsize=None, currsize=17351) secs 1.5110676288604736
STATE 149 [1, 2, 1, 1, 1, 1] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=372789, misses=17848, maxsize=None, currsize=17848) secs 1.5451698303222656
STATE 149 [1, 2, 1, 2, 0, 1] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=380604, misses=18289, maxsize=None, currsize=18289) secs 1.583754301071167
