STATE 127 [12, 10, 9, 8, 6, 6] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=2709, misses=418, maxsize=None, currsize=418) secs 0.020661354064941406
STATE 129 [11, 10, 8, 7, 5, 6] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=6898, misses=1003, maxsize=None, currsize=1003) secs 0.052947282791137695
STATE 133 [9, 8, 7, 6, 4, 5] LEAVES 1 SURVIVE 1 CACHE CacheInfo(hits=7310, misses=1043, maxsize=None, currsize=1043) secs 0.05567812919616699
STATE 133 [9, 8, 7, 6, 5, 4] LEAVES 1 SURVIVE 1 CACHE CacheInfo(hits=7996, misses=1156, maxsize=None, currsize=1156) secs 0.061592817306518555
STATE 137 [7, 6, 5, 5, 3, 5] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=19400, misses=2276, maxsize=None, currsize=2276) secs 0.12000727653503418
STATE 137 [7, 6, 5, 5, 4, 4] LEAVES 2 SURVIVE 2 CACHE CacheInfo(hits=70090, misses=4782, maxsize=None, currsize=4782) secs 0.2880210876464844
STATE 137 [7, 6, 6, 5, 3, 4] LEAVES 2 SURVIVE 2 CACHE CacheInfo(hits=71704, misses=4958, maxsize=None, currsize=4958) secs 0.30427980422973633
STATE 138 [7, 6, 5, 4, 3, 4] LEAVES 1 SURVIVE 0 CACHE CacheInfo(hits=74766, misses=5241, maxsize=None, currsize=5241) secs 0.33027124404907227
STATE 139 [6, 6, 5, 4, 3, 3] LEAVES 1 SURVIVE 1 CACHE CacheInfo(hits=75243, misses=5297, maxsize=None, currsize=5297) secs 0.3359713554382324
STATE 142 [5, 4, 3, 3, 2, 4] LEAVES 2 SURVIVE 1 CACHE CacheInfo(hits=84049, misses=6067, maxsize=None, currsize=6067) secs 0.4053680896759033
STATE 142 [5, 4, 4, 3, 2, 3] LEAVES 2 SURVIVE 2 CACHE CacheInfo(hits=84983, misses=6153, maxsize=None, currsize=6153) secs 0.41437363624572754
STATE 142 [5, 4, 4, 3, 3, 2] LEAVES 2 SURVIVE 1 CACHE CacheInfo(hits=85311, misses=6202, maxsize=None, currsize=6202) secs 0.41925692558288574
STATE 142 [5, 4, 4, 4, 2, 2] LEAVES 2 SURVIVE 2 CACHE CacheInfo(hits=85483, misses=6222, maxsize=None, currsize=6222) secs 0.4220306873321533
STATE 143 [4, 4, 3, 3, 2, 3] LEAVES 2 SURVIVE 1 CACHE CacheInfo(hits=171970, misses=9831, maxsize=None, currsize=9831) secs 0.6559839248657227
STATE 143 [4, 4, 3, 3, 3, 2] LEAVES 2 SURVIVE 0 CACHE CacheInfo(hits=200546, misses=11358, maxsize=None, currsize=11358) secs 0.7508378028869629
STATE 143 [4, 4, 3, 4, 2, 2] LEAVES 1 SURVIVE 1 CACHE CacheInfo(hits=207579, misses=11956, maxsize=None, currsize=11956) secs 0.7834935188293457
STATE 143 [4, 4, 4, 3, 2, 2] LEAVES 3 SURVIVE 3 CACHE CacheInfo(hits=210727, misses=12213, maxsize=None, currsize=12213) secs 0.7990384101867676
STATE 145 [3, 3, 2, 3, 2, 2] LEAVES 1 SURVIVE 1 CACHE CacheInfo(hits=234977, misses=13224, maxsize=None, currsize=13224) secs 0.8642892837524414
