archive_sha256	index	kind	original_member	size	sha256	retained_path
f7a0b8206ad0bcd19d2af052a47d6bfc7ee510c48cc55af711703e6016c16126	2312	archive	A-i9-fixedG-ALL-SESSION-2026-09-24/originals/interim_archive/A-i9-ALL-SESSION-OUTPUTS-2026-09-24.zip	28218289	cb76919930aa3df2a27d0dd25a8a2a030104daca0c8e4ba6a3faa31be0532cf8	
cb76919930aa3df2a27d0dd25a8a2a030104daca0c8e4ba6a3faa31be0532cf8	11	archive	A-i9-ALL-SESSION-OUTPUTS-2026-09-24/rounds/01_KSAT2-31-POSTTRACE/originals/B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence.zip	48682	41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	0	directory	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/			
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	4	directory	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/certificates/			
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	14	directory	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/logs/			
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	18	directory	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/code/			
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	1	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/SHA256SUMS.txt	1679	b8cdca870cdc6a2e93b08f83b0ee336a5249477331020bfd20a025e6acd4234b	objects/b8/b8cdca870cdc6a2e93b08f83b0ee336a5249477331020bfd20a025e6acd4234b.txt
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	2	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/SOURCE_ADOPTION.md	853	d98450b5deb6f5fcfa0e7ce38aeabc196f08053eafd156e6d60fe9aa40cb1f43	objects/d9/d98450b5deb6f5fcfa0e7ce38aeabc196f08053eafd156e6d60fe9aa40cb1f43.md
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	3	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/REPLAY.md	686	d9328d116b9dfc1bf8ba18dbc0f9fa13d8ff891bf723d4f9b675694b8d7f2e62	objects/d9/d9328d116b9dfc1bf8ba18dbc0f9fa13d8ff891bf723d4f9b675694b8d7f2e62.md
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	5	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/certificates/summary.json	630	e2a7ae1a728f41161dc8e8375cc39c09efa340c9d4ed09909dcd1ae0043cae26	objects/e2/e2a7ae1a728f41161dc8e8375cc39c09efa340c9d4ed09909dcd1ae0043cae26.json
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	6	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/certificates/conditional_ksat2_31_posttrace.json	232450	72969cb32ff7aebc17ff9d539076739dc088239faceccb17534c72384f07ee77	objects/72/72969cb32ff7aebc17ff9d539076739dc088239faceccb17534c72384f07ee77.json
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	7	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/certificates/current_posttrace.json	232468	3e9082f2cdca3d1502a3ee344318b586bbf0d381589e109b01344e0989b63835	objects/3e/3e9082f2cdca3d1502a3ee344318b586bbf0d381589e109b01344e0989b63835.json
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	8	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/certificates/ksat2_31_payoff.json	54640	e731a6d85ee91b603ccae487b9656b0092e369c50937476b429955f719f7236c	objects/e7/e731a6d85ee91b603ccae487b9656b0092e369c50937476b429955f719f7236c.json
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	9	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/REPORT.md	4811	b67a24111c971abdada7d1308443a017aaac2907ad66ea38ee15c6712f626694	objects/b6/b67a24111c971abdada7d1308443a017aaac2907ad66ea38ee15c6712f626694.md
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	10	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/MANIFEST.json	1357	8036eb5d572b831446554fff784f477ab31195a0b69d9103d6388147a736563a	objects/80/8036eb5d572b831446554fff784f477ab31195a0b69d9103d6388147a736563a.json
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	11	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/replay.sh	530	d42e6eca603425f8b4f549234b4d089d485945267f752ca904916eb210834ce3	objects/d4/d42e6eca603425f8b4f549234b4d089d485945267f752ca904916eb210834ce3.sh
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	12	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/README.md	675	4ddc79bb30f07238505fb1e02aa537bacbb7fbea2878ee802a6a3fdb5fa75db3	objects/4d/4ddc79bb30f07238505fb1e02aa537bacbb7fbea2878ee802a6a3fdb5fa75db3.md
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	13	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/FAILURE_BOUNDARIES.md	1133	e1c6b464d5ad0d8c9f245d9f0187fdc4e985f1262e20529215d989474da5f7fb	objects/e1/e1c6b464d5ad0d8c9f245d9f0187fdc4e985f1262e20529215d989474da5f7fb.md
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	15	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/logs/check.log	211	ff9bd14b9a40576f0e1e3d9a9e1fe4cd98482fb4dc734bec23285caf8d9d1c83	objects/ff/ff9bd14b9a40576f0e1e3d9a9e1fe4cd98482fb4dc734bec23285caf8d9d1c83.log
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	16	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/logs/replay.log	1390	4991da75b1044a96af7f70cf108f18ca7ea434aaaa0b20cf38abddf597c21305	objects/49/4991da75b1044a96af7f70cf108f18ca7ea434aaaa0b20cf38abddf597c21305.log
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	17	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/logs/initial.log	1390	4991da75b1044a96af7f70cf108f18ca7ea434aaaa0b20cf38abddf597c21305	objects/49/4991da75b1044a96af7f70cf108f18ca7ea434aaaa0b20cf38abddf597c21305.log
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	19	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/code/research_round.py	7624	b44622b560af2b3826a1c577439b66180a468affdea35e313d027d4433a0554d	objects/b4/b44622b560af2b3826a1c577439b66180a468affdea35e313d027d4433a0554d.py
