idx	h	E	options
589	53	0	0:48,
666	57	0	0:44,
667	57	0	0:52,
672	57	0	0:44,
792	61	0	0:56,
875	63	0	0:52,
887	65	0	0:65,
898	65	0	0:64,
931	67	0	0:60,
934	67	0	0:48,
976	70	0	0:68,
1019	72	0	0:72,
1027	73	0	0:72,
1036	73	0	0:66,
1037	73	0	0:68,
1039	73	0	0:64,
1056	75	0	0:73,
1067	75	0	0:68,
1091	77	0	0:68,
1093	77	0	0:76,
1100	77	0	0:56,
1101	77	0	0:64,
1102	77	0	0:72,
1103	77	0	0:60,
1108	77	0	0:76,
1135	79	0	0:77,
1156	80	0	0:80,
1160	81	0	0:80,
1163	81	0	0:68,
1168	82	0	0:80,
1177	82	0	0:81,
1195	83	0	0:76,
1198	83	0	0:68,
1205	85	0	0:72,
1208	85	0	0:80,
1224	85	0	0:85,
1226	85	0	0:85,
1229	85	0	0:76,
1230	85	0	0:84,
1235	85	0	0:65,
1250	85	0	0:84,
1294	87	0	0:72,
1295	87	0	0:80,
1297	87	0	0:64,
1309	89	0	0:76,
1311	89	0	0:84,
1318	89	0	0:89,
1319	89	0	0:89,
1320	89	0	0:80,
1336	90	0	0:88,
1339	90	0	0:84,
1346	91	0	0:84,
1350	92	0	0:88,
1358	93	0	0:72,
1360	93	0	0:80,
1361	93	0	0:88,
1363	93	0	0:88,
1367	93	0	0:80,
1368	93	0	0:85,
1369	93	0	0:76,
1370	93	0	0:93,
1372	93	0	0:88,
1388	94	0	0:92,
1392	95	0	0:92,
1395	95	0	0:80,
1402	97	0	0:80,
1405	97	0	0:88,
1407	97	0	0:96,
1411	97	0	0:96,
1421	97	0	0:68,
1423	97	0	0:76,
1424	97	0	0:86,
1426	97	0	0:84,
1427	97	0	0:92,
1430	97	0	0:76,
1431	97	0	0:76,
1432	97	0	0:72,
1433	97	0	0:82,
1436	97	0	0:96,
1445	97	0	0:84,
1446	97	0	0:92,
1448	97	0	0:92,
1453	97	0	0:92,
1466	97	0	0:92,
1469	97	0	0:92,
1487	98	0	0:88,
1491	99	0	0:93,
