label index h v3 v4 v5 v6 v7 v8 K4 K6 K8 S5
1027 1027 73 39 32 26 23 19 20 0 0 0 0
1036 1036 73 39 32 27 23 19 19 0 0 0 0
1037 1037 73 39 32 27 23 20 18 0 0 0 0
1039 1039 73 39 32 28 23 19 18 0 0 0 0
1056 1056 75 38 31 26 22 19 19 0 0 0 0
1067 1067 75 38 31 27 23 19 17 0 0 0 0
1091 1091 77 37 30 25 22 18 19 0 0 0 0
1093 1093 77 37 30 25 22 19 18 0 0 0 0
1100 1100 77 37 30 26 22 18 18 0 0 0 0
1101 1101 77 37 30 26 22 19 17 0 0 0 0
1102 1102 77 37 30 26 23 18 17 0 0 0 0
1103 1103 77 37 30 27 22 18 17 0 0 0 0
1108 1108 77 37 31 26 22 18 17 0 0 0 0
1135 1135 79 36 30 25 21 18 17 0 0 0 0
1156 1156 80 36 29 25 21 18 16 0 0 0 0
1160 1160 81 35 29 24 21 17 17 0 0 0 0
1163 1163 81 35 29 25 21 17 16 0 0 0 0
1168 1168 82 35 28 23 20 17 18 0 0 0 0
1177 1177 82 35 28 24 20 17 17 0 0 0 0
1195 1195 83 34 28 23 20 17 17 0 0 0 0
1198 1198 83 34 28 24 20 17 16 0 0 0 0
1205 1205 85 33 27 22 19 16 18 0 0 0 0
1208 1208 85 33 27 22 19 17 17 0 0 0 0
1224 1224 85 33 27 23 19 16 17 0 0 0 0
1226 1226 85 33 27 23 19 17 16 0 0 0 0
1229 1229 85 33 27 23 20 16 16 0 0 0 0
1230 1230 85 33 27 23 20 17 15 0 0 0 0
1235 1235 85 33 27 24 20 16 15 0 0 0 0
1250 1250 85 33 28 23 20 16 15 0 0 0 0
1294 1294 87 32 26 22 19 16 16 0 0 0 0
1295 1295 87 32 26 22 19 17 15 0 0 0 0
1297 1297 87 32 26 23 19 16 15 0 0 0 0
1309 1309 89 31 26 21 18 15 16 0 0 0 0
1311 1311 89 31 26 21 18 16 15 0 0 0 0
1318 1318 89 31 26 22 18 15 15 0 0 0 0
1319 1319 89 31 26 22 18 16 14 0 0 0 0
1320 1320 89 31 26 22 19 15 14 0 0 0 0
1336 1336 90 31 25 21 18 15 15 0 0 0 0
1339 1339 90 31 25 22 18 15 14 0 0 0 0
1346 1346 91 30 25 21 18 15 14 0 0 0 0
1350 1350 92 30 24 20 17 15 15 0 0 0 0
1358 1358 93 29 24 20 17 14 15 0 0 0 0
1360 1360 93 29 24 20 17 15 14 0 0 0 0
1361 1361 93 29 24 20 17 16 13 0 0 0 0
1363 1363 93 29 24 20 18 14 14 0 0 0 0
1367 1367 93 29 24 21 17 14 14 0 0 0 0
1368 1368 93 29 24 21 17 15 13 0 0 0 0
1369 1369 93 29 24 21 18 14 13 0 0 0 0
1370 1370 93 29 24 22 17 14 13 0 0 0 0
1372 1372 93 29 25 20 17 14 14 0 0 0 0
1388 1388 94 29 24 20 17 14 13 0 0 0 0
1392 1392 95 28 23 19 17 14 14 0 0 0 0
1395 1395 95 28 23 20 17 14 13 0 0 0 0
1402 1402 97 27 22 18 16 13 15 0 0 0 0
1405 1405 97 27 22 18 16 14 14 0 0 0 0
1407 1407 97 27 22 18 16 15 13 0 0 0 0
1411 1411 97 27 22 18 17 13 14 0 0 0 0
1421 1421 97 27 22 19 16 13 14 0 0 0 0
1423 1423 97 27 22 19 16 14 13 0 0 0 0
1424 1424 97 27 22 19 16 15 12 0 0 0 0
1426 1426 97 27 22 19 17 13 13 0 0 0 0
1427 1427 97 27 22 19 17 14 12 0 0 0 0
1430 1430 97 27 22 20 16 13 13 0 0 0 0
