idx	h	E	options
462	47	0	0:44,
586	53	0	0:51,
589	53	0	0:45,
666	57	0	0:42,
667	57	0	0:52,
668	57	0	0:57,
672	57	0	0:44,
792	61	0	0:56,
854	62	0	0:62,
875	63	0	0:52,
887	65	0	0:65,
898	65	0	0:60,
922	67	0	0:66,
931	67	0	0:58,
932	67	0	0:66,
934	67	0	0:48,
956	69	0	0:69,
976	70	0	0:65,
1003	71	0	0:70,
1019	72	0	0:69,
1027	73	0	0:68,
1036	73	0	0:65,
1037	73	0	0:68,
1038	73	0	0:71,
1039	73	0	0:61,
1056	75	0	0:73,
1061	75	0	0:74,
1067	75	0	0:68,
1091	77	0	0:64,
1093	77	0	0:72,
1096	77	0	0:74,
1100	77	0	0:56,
1101	77	0	0:64,
1102	77	0	0:66,
1103	77	0	0:58,
1108	77	0	0:76,
1114	77	0	0:74,
1126	79	0	0:78,
1135	79	0	0:77,
1156	80	0	0:77,
1160	81	0	0:76,
1163	81	0	0:68,
1168	82	0	0:77,
1177	82	0	0:78,
1178	82	0	0:81,
1179	82	0	0:77,
1195	83	0	0:74,
1196	83	0	0:82,
1198	83	0	0:68,
1205	85	0	0:72,
1208	85	0	0:80,
1214	85	0	0:82,
1224	85	0	0:83,
1226	85	0	0:85,
1229	85	0	0:72,
1230	85	0	0:82,
1235	85	0	0:65,
1239	85	0	0:85,
1250	85	0	0:82,
1294	87	0	0:70,
1295	87	0	0:78,
1296	87	0	0:82,
1297	87	0	0:64,
1298	87	0	0:86,
1309	89	0	0:76,
1311	89	0	0:84,
1314	89	0	0:86,
1318	89	0	0:86,
1319	89	0	0:89,
1320	89	0	0:79,
1336	90	0	0:85,
1339	90	0	0:81,
1346	91	0	0:82,
1350	92	0	0:85,
1352	92	0	0:91,
1353	92	0	0:90,
1358	93	0	0:72,
1360	93	0	0:80,
1361	93	0	0:88,
1363	93	0	0:82,
1367	93	0	0:77,
1368	93	0	0:85,
1369	93	0	0:74,
1370	93	0	0:93,
1372	93	0	0:88,
1378	93	0	0:90,
1388	94	0	0:89,
1392	95	0	0:88,
1395	95	0	0:78,
1402	97	0	0:78,
1405	97	0	0:86,
1407	97	0	0:94,
1411	97	0	0:86,
1413	97	0	0:96,
1421	97	0	0:68,
1423	97	0	0:76,
1424	97	0	0:86,
1426	97	0	0:78,
1427	97	0	0:90,
1428	97	0	0:94,
1430	97	0	0:74,
1431	97	0	0:76,
1432	97	0	0:72,
1433	97	0	0:82,
1436	97	0	0:94,
1445	97	0	0:84,
1446	97	0	0:92,
1448	97	0	0:92,
1453	97	0	0:92,
1457	97	0	0:96,
1466	97	0	0:86,
1467	97	0	0:96,
1469	97	0	0:86,
1484	98	0	0:93,
1487	98	0	0:85,
1491	99	0	0:93,
1492	99	0	0:96,
1493	99	0	0:92,
1494	99	0	0:98,
1498	100	0	0:99,
1501	100	0	0:93,
1505	101	0	0:90,
1506	101	0	0:98,
1507	101	0	0:101,
1508	101	0	0:80,
1509	101	0	0:98,
1512	102	0	0:89,
1513	102	0	0:100,
1515	102	0	0:81,
1520	103	0	0:88,
1522	103	0	0:96,
1525	103	0	0:96,
1529	103	0	0:84,
1530	103	0	0:92,
1531	103	0	0:90,
1532	103	0	0:94,
1543	103	0	0:102,
1546	104	0	0:103,
1548	105	0	0:86,
1549	105	0	0:94,
1550	105	0	0:96,
1551	105	0	0:76,
1552	105	0	0:94,
1553	105	0	0:104,
1556	106	0	0:101,
1565	106	0	0:106,
1567	106	0	0:104,
1584	107	0	0:84,
1586	107	0	0:92,
1587	107	0	0:100,
1589	107	0	0:92,
1590	107	0	0:104,
1593	107	0	0:80,
1594	107	0	0:88,
1595	107	0	0:86,
1596	107	0	0:85,
1598	107	0	0:100,
1601	107	0	0:96,
1604	107	0	0:102,
1607	107	0	0:98,
1610	108	0	0:99,
1612	109	0	0:98,
1613	109	0	0:108,
1615	109	0	0:90,
1619	110	0	0:97,
1620	110	0	0:105,
1621	110	0	0:107,
1622	110	0	0:97,
1623	110	0	0:105,
1626	111	0	0:96,
1627	111	0	0:104,
1628	111	0	0:108,
1629	111	0	0:92,
1630	111	0	0:104,
1633	112	0	0:105,
1636	112	0	0:96,
1641	113	0	0:88,
1643	113	0	0:96,
1644	113	0	0:104,
1646	113	0	0:94,
1647	113	0	0:104,
1648	113	0	0:108,
1650	113	0	0:93,
1651	113	0	0:101,
1652	113	0	0:86,
1653	113	0	0:107,
1655	113	0	0:104,
1656	113	0	0:112,
1657	113	0	0:112,
1661	113	0	0:106,
1664	113	0	0:111,
1667	114	0	0:101,
1670	115	0	0:100,
1672	115	0	0:108,
1675	115	0	0:112,
1679	115	0	0:92,
1680	115	0	0:100,
1681	115	0	0:106,
1682	115	0	0:88,
1684	115	0	0:108,
1687	115	0	0:100,
1693	115	0	0:110,
1699	117	0	0:84,
1701	117	0	0:92,
1702	117	0	0:100,
1704	117	0	0:90,
1705	117	0	0:100,
1706	117	0	0:106,
1708	117	0	0:90,
1709	117	0	0:92,
1710	117	0	0:83,
1711	117	0	0:96,
1713	117	0	0:100,
1714	117	0	0:108,
1715	117	0	0:109,
1716	117	0	0:105,
1717	117	0	0:108,
1719	117	0	0:102,
1720	117	0	0:110,
1721	117	0	0:110,
1722	117	0	0:102,
1726	118	0	0:107,
1727	118	0	0:115,
1729	118	0	0:97,
1732	119	0	0:104,
1734	120	0	0:109,
1735	120	0	0:117,
1736	120	0	0:115,
1737	120	0	0:114,
1738	120	0	0:117,
1742	121	0	0:102,
1744	121	0	0:110,
1745	121	0	0:118,
1747	121	0	0:112,
1751	121	0	0:96,
1752	121	0	0:104,
1753	121	0	0:104,
1754	121	0	0:102,
1756	121	0	0:110,
1757	121	0	0:118,
1759	121	0	0:104,
1762	121	0	0:120,
1765	121	0	0:114,
1769	122	0	0:103,
1770	122	0	0:111,
1771	122	0	0:115,
1772	122	0	0:93,
1773	122	0	0:119,
1774	122	0	0:121,
1775	123	0	0:100,
1777	124	0	0:117,
1780	124	0	0:114,
1785	125	0	0:98,
1787	125	0	0:106,
1788	125	0	0:116,
1790	125	0	0:108,
1791	125	0	0:120,
1792	125	0	0:124,
1794	125	0	0:92,
1795	125	0	0:100,
1796	125	0	0:102,
1797	125	0	0:92,
1799	125	0	0:106,
1800	125	0	0:116,
1801	125	0	0:121,
1802	125	0	0:101,
1803	125	0	0:122,
1805	125	0	0:116,
1808	125	0	0:111,
1811	126	0	0:115,
1814	127	0	0:96,
1816	127	0	0:104,
1817	127	0	0:112,
1819	127	0	0:106,
1820	127	0	0:116,
1821	127	0	0:120,
1823	127	0	0:96,
1824	127	0	0:104,
1825	127	0	0:96,
1826	127	0	0:101,
1828	127	0	0:112,
1829	127	0	0:120,
1830	127	0	0:122,
1831	127	0	0:112,
1832	127	0	0:120,
1834	127	0	0:114,
1835	127	0	0:122,
1836	127	0	0:126,
1837	127	0	0:114,
1840	128	0	0:113,
1842	129	0	0:102,
1843	129	0	0:112,
1844	129	0	0:116,
1845	129	0	0:96,
1846	129	0	0:120,
1847	129	0	0:123,
1849	130	0	0:119,
1850	130	0	0:130,
1852	130	0	0:111,
1853	130	0	0:130,
1856	131	0	0:108,
1857	131	0	0:116,
1858	131	0	0:120,
1859	131	0	0:108,
1860	131	0	0:116,
1861	131	0	0:126,
1862	132	0	0:109,
1865	133	0	0:108,
1867	133	0	0:116,
1868	133	0	0:128,
1870	133	0	0:120,
1871	133	0	0:132,
1874	133	0	0:98,
1875	133	0	0:108,
1876	133	0	0:114,
1877	133	0	0:95,
1879	133	0	0:124,
1882	133	0	0:117,
1885	133	0	0:126,
1888	133	0	0:118,
1892	134	0	0:117,
1893	134	0	0:125,
1894	134	0	0:127,
1895	134	0	0:117,
1896	134	0	0:133,
1899	135	0	0:104,
1900	135	0	0:112,
1901	135	0	0:116,
1902	135	0	0:104,
1903	135	0	0:112,
1904	135	0	0:122,
1905	136	0	0:129,
1907	137	0	0:104,
1908	137	0	0:112,
1909	137	0	0:117,
1910	137	0	0:94,
1911	137	0	0:120,
1912	137	0	0:122,
1914	138	0	0:113,
1915	138	0	0:122,
1916	138	0	0:123,
1917	138	0	0:113,
1918	138	0	0:129,
1919	138	0	0:132,
1921	139	0	0:118,
1922	139	0	0:126,
1923	139	0	0:132,
1924	139	0	0:108,
1925	139	0	0:134,
1926	139	0	0:136,
1927	140	0	0:126,
1929	141	0	0:112,
1930	141	0	0:120,
1931	141	0	0:116,
1932	141	0	0:117,
1933	141	0	0:120,
1934	141	0	0:130,
1937	142	0	0:115,
1939	142	0	0:123,
1940	142	0	0:134,
1942	142	0	0:126,
1943	142	0	0:139,
1946	142	0	0:109,
1947	142	0	0:120,
1948	142	0	0:120,
1949	142	0	0:110,
1951	142	0	0:131,
1952	142	0	0:141,
1954	142	0	0:126,
1955	142	0	0:141,
1957	142	0	0:133,
1960	142	0	0:131,
1964	143	0	0:114,
1965	143	0	0:124,
1966	143	0	0:128,
1967	143	0	0:104,
1968	143	0	0:130,
1969	143	0	0:134,
1972	145	0	0:112,
1974	145	0	0:120,
1975	145	0	0:128,
1977	145	0	0:120,
1978	145	0	0:130,
1979	145	0	0:136,
1980	145	1	1:143,
1981	145	0	0:108,
1982	145	0	0:116,
1983	145	0	0:113,
1984	145	0	0:108,
1986	145	0	0:120,
1987	145	0	0:128,
1988	145	0	0:130,
1989	145	0	0:116,
1990	145	0	0:136,
1992	145	0	0:130,
1993	145	0	0:138,
1994	145	0	0:140,
1995	145	0	0:126,
1996	145	0	0:138,
1998	146	0	0:127,
1999	147	1	1:147,
2000	147	0	0:110,
2001	147	0	0:120,
2002	147	0	0:124,
2003	147	0	0:102,
2004	147	0	0:128,
2005	147	0	0:130,
2007	148	0	0:125,
2008	148	0	0:133,
2009	148	0	0:138,
2010	148	0	0:125,
2011	148	0	0:141,
2012	148	0	0:143,
2014	149	0	0:116,
2015	149	0	0:124,
2016	149	0	0:128,
2017	149	0	0:112,
2018	149	0	0:132,
2019	149	0	0:134,
2020	150	0	0:123,
2022	151	0	0:130,
2023	151	0	0:142,
2024	151	0	0:148,
2025	151	0	0:124,
2026	151	0	0:142,
2029	152	0	0:121,
2030	152	0	0:130,
2031	152	0	0:135,
2032	152	0	0:121,
2033	152	0	0:137,
2034	152	0	0:140,
