path	size_bytes	sha256	kind	round	source
ARCHIVE_AUDIT.json	1794	22a38b1c75fd9e5f92c3a68b21046f440c833ede96d31e5a8af8c4740e781e0a	new_archival_metadata_only		generated_for_this_archive_request
ARCHIVE_SCOPE.md	2555	5b0cd919514273d78bf595ed06dac0a2a54abd2849e9dc2986e1c917a7178c84	new_archival_metadata_only		generated_for_this_archive_request
FILE_LIST.txt	32641	87d336063ea7931638108ca23d4ce0e3f8fbb6798449e63f5db66555073f4f2f	new_archival_metadata_only		generated_for_this_archive_request
INDEX.md	26971	25963afec7e228f5ba8a585fef268b7b87de7884742989d5e9cc1a3d86978661	new_archival_metadata_only		generated_for_this_archive_request
MISSING.md	4077	4e536fb918b186f170420a3bbaa8d37960a20a19ecdf218d1450e370f859d02a	new_archival_metadata_only		generated_for_this_archive_request
original_zips/B699-D-i3-round13-split5-rank-sieve-20260922.zip	17014	f7408bde142d16de0ad7c79da4d82b974a048b29a319d1b28fdcabd5e3445ba2	original_evidence_zip	13	B699-D-i3-round13-split5-rank-sieve-20260922.zip
original_zips/B699-D-i3-round13-split5-rank-sieve-20260922.zip.sha256	125	5ee4b45a905e613d246d1a98d014c0350030c172e520da4f59d37059f7931d14	original_zip_hash_sidecar	13	B699-D-i3-round13-split5-rank-sieve-20260922.zip.sha256
original_zips/B699-D-i3-round14-rank-exponent-antichain-20260922.zip	36636	60882a735c68655fe1082a8a2476251102bc7aaeeb1e470e561459019ce0dbfa	original_evidence_zip	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip
original_zips/B699-D-i3-round14-rank-exponent-antichain-20260922.zip.sha256	131	a8d7eef3f58f82386902a67fc558a16a84dba76d4a2ce7058480eefe80ff6f24	original_zip_hash_sidecar	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip.sha256
original_zips/B699-D-i3-round15-cz-gcd-finiteness-20260922.zip	29186	84aa10359341a87f237cd2c98e33e8464ecdb6a35e782d98bbf9ca3b98bd2b3c	original_evidence_zip	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip
original_zips/B699-D-i3-round15-cz-gcd-finiteness-20260922.zip.sha256	115	65469695710ee2e7f053c387c0bba3e31c3f3b7b748e74d7a5218833e2d41345	original_zip_hash_sidecar	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip.sha256
original_zips/B699-D-i3-round16-matveev-effective-bridge-20260922.zip	19273	636b4bc6c91df0cf0ff6efb1bc5bf12bf663fb8beb10f5bfcf3bca380c8bc9e7	original_evidence_zip	16	B699-D-i3-round16-matveev-effective-bridge-20260922.zip
original_zips/B699-D-i3-round16-matveev-effective-bridge-20260922.zip.sha256	132	0725e1157c4c5d7b7eb42d1eaf3be046d333673dc1903cdbb8163982c8d965d4	original_zip_hash_sidecar	16	B699-D-i3-round16-matveev-effective-bridge-20260922.zip.sha256
original_zips/B699-D-i3-round17-high-layer-rank-gap-20260922.zip	109660	49391992b41cf185183aa9dd154354590f0371c1942e8a4adeeb5978509ac1e4	original_evidence_zip	17	B699-D-i3-round17-high-layer-rank-gap-20260922.zip
original_zips/B699-D-i3-round17-high-layer-rank-gap-20260922.zip.sha256	117	124990b0031891e5033501288656f0c07ff00be3600921cc32ca25ce65583fb9	original_zip_hash_sidecar	17	B699-D-i3-round17-high-layer-rank-gap-20260922.zip.sha256
original_zips/B699-D-i3-round18-pure-two-closure-20260922.zip	65235	703db06c70dc968c4bdf9ab0fd52f7d8e5e052a67dd69a08b7a3147453c2ded9	original_evidence_zip	18	B699-D-i3-round18-pure-two-closure-20260922.zip
original_zips/B699-D-i3-round18-pure-two-closure-20260922.zip.sha256	114	91a6a0fc5bdaa9b11eeb305a7854ec5bb15184be226366db6541233b0ee32ecc	original_zip_hash_sidecar	18	B699-D-i3-round18-pure-two-closure-20260922.zip.sha256
original_zips/B699-D-i3-round19-odd-endpoint-polyheight-20260922.zip	44833	69cb42c5f8a3b6ac1f50ff2107c13c3c2c5263b814420984aab6b8f05566d5a5	original_evidence_zip	19	B699-D-i3-round19-odd-endpoint-polyheight-20260922.zip
original_zips/B699-D-i3-round19-odd-endpoint-polyheight-20260922.zip.sha256	121	ff9c87d556cf617247fb96ae33cfed409da38d6d2147bdeede3af589657702a0	original_zip_hash_sidecar	19	B699-D-i3-round19-odd-endpoint-polyheight-20260922.zip.sha256
original_zips/B699-D-i3-round20-cubic-A-central-closure-20260924.zip	54800	6cc9f582072cb74db227d901f391a4da8000b983ba4e18107068870182b9e333	original_evidence_zip	20	B699-D-i3-round20-cubic-A-central-closure-20260924.zip
original_zips/B699-D-i3-round20-cubic-A-central-closure-20260924.zip.sha256	121	cb67031236dfa7e8bf60e1b75ba656c39b7db823aa692547e9cf5800496bac0d	original_zip_hash_sidecar	20	B699-D-i3-round20-cubic-A-central-closure-20260924.zip.sha256
original_zips/B699-D-i3-round21-negative-JB-cone-closure-20260924.zip	57731	29910a30214cc4c6dac27b54d4136ba466f092d0a2a68b0bf4330084b6e6661c	original_evidence_zip	21	B699-D-i3-round21-negative-JB-cone-closure-20260924.zip
original_zips/B699-D-i3-round21-negative-JB-cone-closure-20260924.zip.sha256	122	68aa3e755b8ec1f14191278365c4b0caab2ba4f74345a44d3d1a329125aec1dc	original_zip_hash_sidecar	21	B699-D-i3-round21-negative-JB-cone-closure-20260924.zip.sha256
original_zips/B699-D-i3-round22-remainder-septic-cone-20260924.zip	54003	0170217978b036700f6af5a8f60bbb9d2e8e6169644541bde0fabd8147ac3c58	original_evidence_zip	22	B699-D-i3-round22-remainder-septic-cone-20260924.zip
original_zips/B699-D-i3-round22-remainder-septic-cone-20260924.zip.sha256	119	02d11aa9ab8dade25efdc33af94175c403cd5e01da13cad27767de728421e018	original_zip_hash_sidecar	22	B699-D-i3-round22-remainder-septic-cone-20260924.zip.sha256
provenance/ARCHIVE_CHECKS.log	713	abf9fc6b64a6c44840bed91fd03545a0c80ee6c410a214bd7232725da63985fe	new_archival_metadata_only		generated_for_this_archive_request
provenance/ATTACHMENT_MAP.tsv	10304	822a8b4821a848a42ddfa54146bb46577fd753d9f20a231c7477fb593b5d7fd5	new_archival_metadata_only		generated_for_this_archive_request
provenance/EXCLUDED_INPUTS.json	3035	780afd88b64aa024a2246f68b0ab0810a215b7fe39785e86c2a11b52ca669b34	new_archival_metadata_only		generated_for_this_archive_request
provenance/INTERNAL_HASH_CHECKS.json	130424	94dca8df9c5e648f4d7314fadc7667e0462fc1dede37307eed7119858bceabcb	new_archival_metadata_only		generated_for_this_archive_request
provenance/SESSION_DELIVERY_REGISTER.json	145352	7e6c1dc0bea310fd468b619e2e65d137da31b17a73a76af5d8784c7a1afd4557	new_archival_metadata_only		generated_for_this_archive_request
provenance/SOURCE_SNAPSHOTS.tsv	16058	14b8fdf3d83bdb20995b720d7c97c8bdae1a8165ed00fb996af8b65cbbbbbada	new_archival_metadata_only		generated_for_this_archive_request
rounds/B699-D-i3-round13-split5-rank-sieve-20260922/FAILURES.md	1072	6d67af6d070ed89801aec9e6c34926d1233592e3f43711e0d90ccace3fa59a11	extracted_original_package_member	13	B699-D-i3-round13-split5-rank-sieve-20260922.zip!/B699-D-i3-round13-split5-rank-sieve-20260922/FAILURES.md
rounds/B699-D-i3-round13-split5-rank-sieve-20260922/HANDOFF.md	1066	ebda3bf2e7ada2bef91890a3df07cef06cf28dbef507fc0ecb88713deab1343f	extracted_original_package_member	13	B699-D-i3-round13-split5-rank-sieve-20260922.zip!/B699-D-i3-round13-split5-rank-sieve-20260922/HANDOFF.md
rounds/B699-D-i3-round13-split5-rank-sieve-20260922/PROOFS.md	3226	a36e7aff51b5b583de27bea95b8babe31b8c6aed0c4d3c5f4f0273610be542ea	extracted_original_package_member	13	B699-D-i3-round13-split5-rank-sieve-20260922.zip!/B699-D-i3-round13-split5-rank-sieve-20260922/PROOFS.md
rounds/B699-D-i3-round13-split5-rank-sieve-20260922/README.md	420	590a7ae5a6f809913704dc0231edb8f97bd473c184b8b71f54c9b48a1d252105	extracted_original_package_member	13	B699-D-i3-round13-split5-rank-sieve-20260922.zip!/B699-D-i3-round13-split5-rank-sieve-20260922/README.md
rounds/B699-D-i3-round13-split5-rank-sieve-20260922/REPORT.md	5478	d789be411358656479c3834cd2221df26c15ec1cc53d89948f1ea75251944798	extracted_original_package_member	13	B699-D-i3-round13-split5-rank-sieve-20260922.zip!/B699-D-i3-round13-split5-rank-sieve-20260922/REPORT.md
rounds/B699-D-i3-round13-split5-rank-sieve-20260922/SHA256SUMS	848	d43370cad0444caecc0362d1abfd674a4361124ce73a3213f45e7871415ed45f	extracted_original_package_member	13	B699-D-i3-round13-split5-rank-sieve-20260922.zip!/B699-D-i3-round13-split5-rank-sieve-20260922/SHA256SUMS
rounds/B699-D-i3-round13-split5-rank-sieve-20260922/certificates/rank_sieve.json	27827	a479a808d41dd115ae6914a792ab946619a9ac3d4fb1ba896e71b18d49bf35af	extracted_original_package_member	13	B699-D-i3-round13-split5-rank-sieve-20260922.zip!/B699-D-i3-round13-split5-rank-sieve-20260922/certificates/rank_sieve.json
rounds/B699-D-i3-round13-split5-rank-sieve-20260922/evidence/replay.py	3224	f108c021a737c3ad3b4809db7bd45315d7eeb792ad1740beeb0df092cdd41c7f	extracted_original_package_member	13	B699-D-i3-round13-split5-rank-sieve-20260922.zip!/B699-D-i3-round13-split5-rank-sieve-20260922/evidence/replay.py
rounds/B699-D-i3-round13-split5-rank-sieve-20260922/evidence/symbolic_verify.py	595	9e1a9ee7160e033d5b4e4b99f85664912c900cb9838c55833679d4772f940f9c	extracted_original_package_member	13	B699-D-i3-round13-split5-rank-sieve-20260922.zip!/B699-D-i3-round13-split5-rank-sieve-20260922/evidence/symbolic_verify.py
rounds/B699-D-i3-round13-split5-rank-sieve-20260922/outputs/replay.json	27827	a479a808d41dd115ae6914a792ab946619a9ac3d4fb1ba896e71b18d49bf35af	extracted_original_package_member	13	B699-D-i3-round13-split5-rank-sieve-20260922.zip!/B699-D-i3-round13-split5-rank-sieve-20260922/outputs/replay.json
rounds/B699-D-i3-round13-split5-rank-sieve-20260922/outputs/replay.log	180	634c11cc255a38bac05aee029728bb64e15122112300df3cab9b0be54efba713	extracted_original_package_member	13	B699-D-i3-round13-split5-rank-sieve-20260922.zip!/B699-D-i3-round13-split5-rank-sieve-20260922/outputs/replay.log
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/CONTENTS.md	740	85b938927625bfec53799179b2dac3fef9271fc51a3000b3a165764c3bdd3a44	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/CONTENTS.md
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/FAILURES.md	1628	92b2b6ebb5e0f1307ff4b6b0f79067989c70737a7c8143f03a18103b4d2861aa	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/FAILURES.md
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/FRONTIER.json	1440	caf35b7da6e214bb573c95d0e9ac060efb9d091914c81c9dc2390e33c242b9db	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/FRONTIER.json
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/HANDOFF.md	1646	12904dff8c8128e0bf97caf677afaea3d1ee088d9121e1a2ebaab24e7fe054f0	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/HANDOFF.md
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/MANIFEST.tsv	1710	6443b3fb6e869d05032b07a4ae3ff144741380fe5832bfd8c85957cc9e2b1413	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/MANIFEST.tsv
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/PACKAGE_AUDIT.json	906	61aad96e014ebf0ec02c8152f8b467f5e98ae00560ebf52714e10cc94fd341e5	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/PACKAGE_AUDIT.json
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/PROOFS.md	8615	69f20e11a2a83e45d01c210c2d7c36a025d7e54e37f7f79d1e21c723565508c3	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/PROOFS.md
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/README.md	632	d243a828c84d6996578eabe4e5ca7fe0e4b65cd62a280857e8b082e0ef4acce0	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/README.md
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/REPLAY.md	827	bc3a1e5fc6b92e11b63afa5ba73d19d56e7a28c1155b5a1893f0067d5ceff490	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/REPLAY.md
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/REPORT.md	9025	890b78a4f05a8675f0a71c361f09548d6abbba2e6f647277f424b9536268e902	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/REPORT.md
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/SHA256SUMS	1780	7c4ca891c9cfff8debc4d26c1c9ff8cb5e31933c5fb13f74b5981a5631732b4d	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/SHA256SUMS
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/SOURCE_ADOPTION.md	607	e1c6287266782aa9227c440e9f819cfdbe76b7532102586b67f778917331e09f	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/SOURCE_ADOPTION.md
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/certificates/rank_exponent.json	12505	9d06660c6fea5c721ff83d42885c41b36623e1e47f88f276c1849b8edb255bbc	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/certificates/rank_exponent.json
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/evidence/replay.py	12454	e1e9df16a4992439dabf4b702650ec494c9575a4ef4ab04f11bab231c326e408	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/evidence/replay.py
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/outputs/full_replay.log	785	5d4421562ce27a2d9aa28893b7cb74dd75a3afedb3e0dcebf3275cdc94205f2c	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/outputs/full_replay.log
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/outputs/replay.json	12505	9d06660c6fea5c721ff83d42885c41b36623e1e47f88f276c1849b8edb255bbc	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/outputs/replay.json
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/outputs/replay.log	287	1bf80611669d9b48c61fc7b2cdb4396b34e3f99ef92b24b4b98153b74f96514a	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/outputs/replay.log
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/replay.sh	477	c197dc7ce9a1be3e1638770eac22fb9a935f2d0b0c4468a2e83b062185a29c44	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/replay.sh
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/sources/OVERVIEW-2026-09-22.md.txt	4397	4ad5a387242d834c57d08cebf011ed82507bd5f9bf661589a323f98b480c56c5	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/sources/OVERVIEW-2026-09-22.md.txt
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/sources/ROUND13_SHA256.txt	115	05d4c578bbea15303ef451b63cebb8f7342a03e8d327a8adf3808616e00a2033	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/sources/ROUND13_SHA256.txt
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/sources/round13_rank_sieve.json	27827	a479a808d41dd115ae6914a792ab946619a9ac3d4fb1ba896e71b18d49bf35af	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/sources/round13_rank_sieve.json
rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/sources/round13_replay_receipt.json	173	709d51223f3c1ca825b74d28335d911013427b245f306ec4fb39581ef36cc6c4	extracted_original_package_member	14	B699-D-i3-round14-rank-exponent-antichain-20260922.zip!/B699-D-i3-round14-rank-exponent-antichain-20260922/sources/round13_replay_receipt.json
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/CONTENTS.md	593	13a89788b7e6455cbe5e3935bfd366a195d7090150da9cef77c5d2c9b6dd3add	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/CONTENTS.md
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/FAILURES.md	1334	9e8fc26872dfe8ba9a31b0c1e181ab88c719b5c87e3b88d3301158b0c97186c0	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/FAILURES.md
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/FRONTIER.json	676	e6cb6475f3375adead4b284bbac9674a371a443343578959006ddfa0de69cc68	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/FRONTIER.json
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/HANDOFF.md	1517	021e2f6b5d5b873cab687a6279d274255b29c5d2d81b2895ac31d4af5246b49d	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/HANDOFF.md
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/MANIFEST.tsv	1889	760de9445c3cf04dfa94af5ebe4cef61bbfe219c9e773f9b029dc08f3bea7978	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/MANIFEST.tsv
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/PACKAGE_AUDIT.json	229	b9e41868dbaa6a781ce6402a4f74bb1c263d6a5581d811bff65aec901ce9a0e2	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/PACKAGE_AUDIT.json
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/PROOFS.md	5711	f7aefc24cba2c2391450424e6221aaf728db8c3de8cb165d0197053e97923a89	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/PROOFS.md
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/README.md	288	0fedb0f46d6f46762ba3e1225d73d82cde1b69f5dd523f13fd4d9496d7e0f2a3	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/README.md
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/REPLAY.md	450	6ae6f5d82f616f30c358a943a7f233bab328d7ec6ec533eb51953e0bf10dd8d2	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/REPLAY.md
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/REPORT.md	6419	a017c876a30df6b14242717831ad90665791339e95bcc8592229169293847144	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/REPORT.md
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/SHA256SUMS	1957	274a13c454fcda35c68f7a1f4abac842d2135c3ad80ab107c93fa8a009515295	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/SHA256SUMS
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/SOURCES.md	785	2baa189d57ea661f19cfc694f0a87115142d6612f47d48dab2d3cb66f5dba0f0	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/SOURCES.md
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/SOURCE_ADOPTION.md	463	c5d749e6241296c395dd9e2bdabc879174b59d7b21e9c0785e470ffbddf889b4	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/SOURCE_ADOPTION.md
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/certificates/cz_finiteness.json	1189	5b5161e9b0d454869e78c23a011e072a77c1814384a9783b1a16323d2e9b1cd1	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/certificates/cz_finiteness.json
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/evidence/replay.py	3060	3eaa8ecd367d5ab73d22c34f4f600cc499ba51c22d7c6d49cd7078587f4ca8ab	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/evidence/replay.py
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/evidence/symbolic_verify.py	613	6f261e2c0c7ba1c660197d649eb5e30f40201196fa14378c23c64b84bc0a5c75	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/evidence/symbolic_verify.py
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/outputs/full_replay.log	157	0699ee2ff1892d0c8de07ec32d1628d474f89d093edf1612dfa513ef1af34b43	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/outputs/full_replay.log
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/outputs/replay.json	2748	cafbe4e88f86baebe7d8ac3b3841e205904aa8247104fc5a015e712933809453	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/outputs/replay.json
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/outputs/replay.log	132	48035f36bc89e73cc247c7cb9f1e4984847f8ff3e798aea9d605faa86471c981	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/outputs/replay.log
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/replay.sh	153	9ef12b36e82510f64f86f2b531bac0b252f4d53ca4ce4bf8e6c88ca2d18e25f2	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/replay.sh
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/sources/CORVAJA_ZANNIER_INTERFACE.json	497	a4b301ad21d56f0a044c85481ed9083a23a8886795048a2d45f15f79991a6f1a	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/sources/CORVAJA_ZANNIER_INTERFACE.json
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/sources/OVERVIEW-2026-09-22.md.txt	4397	4ad5a387242d834c57d08cebf011ed82507bd5f9bf661589a323f98b480c56c5	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/sources/OVERVIEW-2026-09-22.md.txt
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/sources/ROUND14_SHA256.txt	121	07d597a6e42d3cf89ee946457a741f95c428714511877a8bc0f37b813fb029cb	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/sources/ROUND14_SHA256.txt
rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/sources/round14_rank_exponent.json	12505	9d06660c6fea5c721ff83d42885c41b36623e1e47f88f276c1849b8edb255bbc	extracted_original_package_member	15	B699-D-i3-round15-cz-gcd-finiteness-20260922.zip!/B699-D-i3-round15-cz-gcd-finiteness-20260922/sources/round14_rank_exponent.json
rounds/B699-D-i3-round16-matveev-effective-bridge-20260922/FAILURES.md	1455	b320fcfa8aff812a07d56c54c94c189c811de95f4da19cbbac443e2a51eb6e4f	extracted_original_package_member	16	B699-D-i3-round16-matveev-effective-bridge-20260922.zip!/B699-D-i3-round16-matveev-effective-bridge-20260922/FAILURES.md
rounds/B699-D-i3-round16-matveev-effective-bridge-20260922/HANDOFF.md	1816	d9b984d20a96a3b6be5c13ef5c18fe137fb027c2078efd407d059c2a8e9dc71b	extracted_original_package_member	16	B699-D-i3-round16-matveev-effective-bridge-20260922.zip!/B699-D-i3-round16-matveev-effective-bridge-20260922/HANDOFF.md
rounds/B699-D-i3-round16-matveev-effective-bridge-20260922/PROOFS.md	10158	6092555c5ec30cc25b7c99a902607ecc26824987fef33c1c63a94c38d725cd1e	extracted_original_package_member	16	B699-D-i3-round16-matveev-effective-bridge-20260922.zip!/B699-D-i3-round16-matveev-effective-bridge-20260922/PROOFS.md
rounds/B699-D-i3-round16-matveev-effective-bridge-20260922/README.md	432	d825f4f112159fa94df5c791fda6c98ea6e9fc203646438b554808e1d728b700	extracted_original_package_member	16	B699-D-i3-round16-matveev-effective-bridge-20260922.zip!/B699-D-i3-round16-matveev-effective-bridge-20260922/README.md
rounds/B699-D-i3-round16-matveev-effective-bridge-20260922/REPLAY.md	727	db33e0a62184e2187c8d6fd7abe9de6e7ac920ac405360a6aba329df21d2a768	extracted_original_package_member	16	B699-D-i3-round16-matveev-effective-bridge-20260922.zip!/B699-D-i3-round16-matveev-effective-bridge-20260922/REPLAY.md
rounds/B699-D-i3-round16-matveev-effective-bridge-20260922/REPORT.md	3533	958aa64a67fb5f9ee26bb0c0df04081b1a03ea5b4e2cf97d83c3f6d50ac5fd6e	extracted_original_package_member	16	B699-D-i3-round16-matveev-effective-bridge-20260922.zip!/B699-D-i3-round16-matveev-effective-bridge-20260922/REPORT.md
