idx	h	E	v3,v4,v5,v6,v7,v8
1643	113	0	19,16,13,11,10,10
1644	113	0	19,16,13,11,11,9
1646	113	0	19,16,13,12,9,10
1650	113	0	19,16,14,11,9,10
1651	113	0	19,16,14,11,10,9
1670	115	0	18,15,12,11,9,10
1672	115	0	18,15,12,11,10,9
1679	115	0	18,15,13,11,9,9
1699	117	0	17,14,12,10,8,10
1701	117	0	17,14,12,10,9,9
1702	117	0	17,14,12,10,10,8
1704	117	0	17,14,12,11,8,9
1708	117	0	17,14,13,10,8,9
1709	117	0	17,14,13,10,9,8
1713	117	0	17,15,12,10,8,9
1726	118	0	17,14,11,10,8,9
1734	120	0	16,13,11,9,8,8
1742	121	0	15,13,10,9,7,9
1744	121	0	15,13,10,9,8,8
1751	121	0	15,13,11,9,7,8
1769	122	0	15,12,10,9,7,8
1775	123	0	14,12,10,9,7,7
1785	125	0	13,11,9,8,6,8
1787	125	0	13,11,9,8,7,7
1788	125	0	13,11,9,8,8,6
1790	125	0	13,11,9,9,6,7
1794	125	0	13,11,10,8,6,7
1795	125	0	13,11,10,8,7,6
1799	125	0	13,12,9,8,6,7
1814	127	0	12,10,8,7,6,8
1816	127	0	12,10,8,7,7,7
1817	127	0	12,10,8,7,8,6
1819	127	0	12,10,8,8,6,7
1820	127	0	12,10,8,8,7,6
1823	127	0	12,10,9,7,6,7
1824	127	0	12,10,9,7,7,6
1825	127	0	12,10,9,8,6,6
1826	127	0	12,10,10,7,6,6
1828	127	0	12,11,8,7,6,7
1829	127	0	12,11,8,7,7,6
1831	127	0	12,11,9,7,6,6
1834	127	0	13,10,8,7,6,7
1840	128	0	12,10,8,7,6,6
1842	129	0	11,10,8,7,5,6
1849	130	0	11,9,7,7,5,6
1856	131	0	10,9,7,6,5,6
1857	131	0	10,9,7,6,6,5
1859	131	0	10,9,8,6,5,5
1862	132	0	10,8,7,6,5,5
1865	133	0	9,8,6,6,4,6
1867	133	0	9,8,6,6,5,5
1868	133	0	9,8,6,6,6,4
1870	133	0	9,8,6,7,4,5
1874	133	0	9,8,7,6,4,5
1875	133	0	9,8,7,6,5,4
1892	134	0	9,8,6,5,4,5
1899	135	0	8,7,6,5,4,5
1900	135	0	8,7,6,5,5,4
1901	135	0	8,7,6,6,4,4
1902	135	0	8,7,7,5,4,4
1903	135	0	8,8,6,5,4,4
1907	137	0	7,6,5,5,3,5
1908	137	0	7,6,5,5,4,4
1909	137	0	7,6,5,6,3,4
1910	137	0	7,6,6,5,3,4
1911	137	0	7,7,5,5,3,4
1914	138	0	7,6,5,4,3,4
1915	138	0	7,6,5,4,4,3
1921	139	0	6,6,4,4,3,4
1922	139	0	6,6,4,4,4,3
1924	139	0	6,6,5,4,3,3
1927	140	0	6,5,4,4,3,3
1929	141	0	5,5,4,3,2,4
1930	141	0	5,5,4,3,3,3
1931	141	0	5,5,4,4,2,3
1932	141	0	5,5,5,3,2,3
1933	141	0	5,6,4,3,2,3
1937	142	0	5,4,3,3,2,4
1939	142	0	5,4,3,3,3,3
1940	142	0	5,4,3,3,4,2
1942	142	0	5,4,3,4,2,3
1946	142	0	5,4,4,3,2,3
1947	142	0	5,4,4,3,3,2
1949	142	0	5,4,5,3,2,2
1964	143	0	4,4,3,3,2,3
1965	143	0	4,4,3,3,3,2
1966	143	0	4,4,3,4,2,2
1967	143	0	4,4,4,3,2,2
1972	145	0	3,3,2,2,1,4
1974	145	0	3,3,2,2,2,3
1975	145	0	3,3,2,2,3,2
1977	145	0	3,3,2,3,1,3
1978	145	0	3,3,2,3,2,2
1979	145	0	3,3,2,4,1,2
1981	145	0	3,3,3,2,1,3
1982	145	0	3,3,3,2,2,2
1983	145	0	3,3,3,3,1,2
1984	145	0	3,3,4,2,1,2
1986	145	0	3,4,2,2,1,3
1987	145	0	3,4,2,2,2,2
1988	145	0	3,4,2,3,1,2
1989	145	0	3,4,3,2,1,2
1992	145	0	4,3,2,2,1,3
1998	146	0	3,3,2,2,1,2
2000	147	0	2,2,2,2,1,2
2001	147	0	2,2,2,2,2,1
2002	147	0	2,2,2,3,1,1
2003	147	0	2,2,3,2,1,1
2007	148	0	2,2,1,1,1,2
2008	148	0	2,2,1,1,2,1
2009	148	0	2,2,1,2,1,1
2010	148	0	2,2,2,1,1,1
2014	149	0	1,2,1,1,0,2
2015	149	0	1,2,1,1,1,1
2016	149	0	1,2,1,2,0,1
2017	149	0	1,2,2,1,0,1
2020	150	0	1,1,1,1,0,1
2022	151	0	0,1,0,1,0,1
2023	151	0	0,1,0,1,1,0
2025	151	0	0,1,1,1,0,0
2029	152	0	0,0,0,0,0,1
2030	152	0	0,0,0,0,1,0
2031	152	0	0,0,0,1,0,0
2032	152	0	0,0,1,0,0,0
