C3 C4 C5 C6 C7 C8 K4 K6 K8 S5 E
0 4 6 6 0 6 0 0 0 0 104
0 4 6 5 0 6 0 1 0 1 109
0 4 6 6 0 6 0 2 0 1 100
0 4 6 6 0 6 2 2 0 1 108
0 4 6 5 0 6 0 3 0 1 108
0 4 6 6 0 6 0 4 0 1 106
0 4 6 6 0 5 0 2 1 1 108
0 4 6 5 0 6 0 1 2 1 108
0 4 6 6 0 6 0 2 2 1 106
0 4 6 6 0 6 0 2 0 2 97
0 4 6 6 0 6 2 2 0 2 104
0 4 6 5 0 6 0 3 0 2 104
0 4 6 6 0 6 0 4 0 2 96
0 4 6 6 0 6 2 4 0 2 104
0 4 6 5 0 6 0 5 0 2 104
0 4 6 6 0 6 0 6 0 2 103
0 4 6 6 0 6 2 6 0 2 108
0 4 6 6 0 5 0 2 1 2 104
0 4 6 6 0 5 0 4 1 2 104
0 4 6 6 0 6 0 2 2 2 96
0 4 6 6 0 6 2 2 2 2 104
0 4 6 5 0 6 0 3 2 2 104
0 4 6 6 0 6 0 4 2 2 103
0 4 6 6 0 6 2 4 2 2 108
0 4 6 6 0 5 0 2 3 2 104
0 4 6 6 0 6 0 2 4 2 103
0 4 6 5 0 6 0 3 0 3 102
0 4 6 5 0 6 2 3 0 3 108
0 4 6 6 0 4 0 4 0 3 109
0 4 6 4 0 6 0 4 0 3 109
0 4 6 6 0 6 0 4 0 3 92
0 3 6 6 0 6 1 4 0 3 108
0 4 6 6 0 6 2 4 0 3 100
0 4 6 6 0 6 4 4 0 3 108
0 4 6 5 0 6 0 5 0 3 100
0 4 6 5 0 6 2 5 0 3 108
0 4 6 6 0 4 0 6 0 3 108
0 4 6 6 0 6 0 6 0 3 92
0 3 6 6 0 6 1 6 0 3 108
0 4 6 6 0 6 2 6 0 3 101
0 4 6 5 0 5 0 3 1 3 109
0 4 6 6 0 5 0 4 1 3 100
0 4 6 6 0 5 2 4 1 3 108
0 4 6 5 0 5 0 5 1 3 108
0 4 6 6 0 5 0 6 1 3 101
0 4 6 5 0 6 0 3 2 3 100
0 4 6 5 0 6 2 3 2 3 108
0 4 6 6 0 4 0 4 2 3 108
0 4 6 4 0 6 0 4 2 3 108
0 4 6 6 0 6 0 4 2 3 92
0 3 6 6 0 6 1 4 2 3 108
0 4 6 6 0 6 2 4 2 3 101
0 4 6 5 0 6 0 5 2 3 101
0 4 6 6 0 6 0 6 2 3 100
0 4 6 6 0 6 2 6 2 3 105
0 4 6 5 0 5 0 3 3 3 108
0 4 6 6 0 5 0 4 3 3 101
0 4 6 5 0 6 0 3 4 3 101
0 4 6 6 0 6 0 4 4 3 100
0 4 6 6 0 6 2 4 4 3 105
0 4 6 6 0 6 0 6 4 3 108
0 4 6 6 0 6 2 6 4 3 107
0 4 6 6 0 5 0 4 5 3 109
0 4 6 5 0 6 0 3 6 3 109
0 4 6 6 0 6 0 4 6 3 108
0 4 6 6 0 6 2 4 6 3 107
